Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out4[255:0]
158,158,0,eaff1c00ceff3000e2ff5800ecff50001ca2b658e6b9c85f66fcc83a70349004
159,159,0,faff3e00eeff20004600e2ff8000dcff8af8d63eb8283812405a98cad05c40a6
160,160,0,1c002e004000eeff4600c0ff4000dcffe6586acec85fc6ab583b7ea37004b0c3
161,161,0,2e000c004000deff0400d0ffccff2000863e0ca24812f6b978ca66fc20a68034
162,162,0,1c00daff10002000e2ff0400dcff4000bacd0af8c6ab78284ca3905af0c3d05c
163,163,0,daff2e00eeff6000c0ff5800200060002ca2a65856b9a85f36fcb83a70346004
164,164,0,eaff2e0010003000e2fff2ff5000bcff2af8d63e98287812205a98c9f05c40a6
165,165,0,1c000c004000eeff5800d0ff4000bcffd6583aced85f76ab283b5ca3f00440c4
166,166,0,2e00eaff4000ceffe2ffaefffcffdcff363cfca29802f6b936c096fdd0a4e034
167,167,0,eafffaffceffeeffc0fff2ffacff60001cccdafaf6a5b8356ea7d25df0c4805c
168,168,0,daff0c00beff3000e2ff0400fcff50009ca2d659b6c4b85caa08343190358003
169,169,0,faff3e00eeff10000400f2ff6000ccff1afbd63c6835c803f25db6c0605c90a5
170,170,0,3e002e005000eeff5800d0ff4000dcff56598cccf85ca6a58431aea75003d0c4
171,171,0,3e00b8ff4000deff3600e2fffcffdcff263daca2180476c456c14a08a0a58035
172,172,0,1c00faffeeff2000d0ff2600ccff4000eccbdafae6a5e8344ea7025e80c4905c
173,173,0,c8ff3e0000004000c0ff5800ecff4000aca2b65996c4c85cda087431e035a003
174,174,0,faff2e00deff1000360004007000ecff1afa663de834e803c25d76c0a05c70a5
175,175,0,fafffaff5000deff4600d0ff3000ecff86595cccc85ce6a5d6314ea7e00320c4
176,176,0,2e00faff3000eeff0400c0ffccffdcfff63cbca2380476c426c1da09a0a56035
177,177,0,faffdaff10002000d0ff4600ccff50006ccc0afa66a528351ea7d25d80c4c05c
178,178,0,eaff1c00ceff4000aeff5800ccff3000bca2565926c4d85c4a08e430d035c003
179,179,0,daff3e0020004000260026008000ccff1afae63c98341804c25df6c0c05ca0a5
180,180,0,2e00faff3000000058008cff4000ccff76597cccc85ce6a5b4319ea7000430c4
181,181,0,2e00daff2000beffe2ffaeffdcffecff563ddca2280436c426c17a08a0a58035
182,182,0,0c00eaffdeffdeff9eff4600dcff40007ccc2afa06a6c8343ea7e25d80c4c05c
183,183,0,c8ff2e00beff3000d0ff4600dcfffcffaca28659e6c3d85c3a08343150355003
184,184,0,eaff1c00eeff3000460004005000dcff9afa363d88340804c25d96c0c05cb0a5
185,185,0,1c00eaff3000deff0400c0ff3000bcffb6599cccd85cc6a584314ea7c00360c4
186,186,0,2e00eaff3000eefff2ffc0ffdcffecffc63c7ca2780466c4f6c0aa08d0a55035
187,187,0,eaffeaffeeff1000c0ff0400bcff40003ccc0afa36a6d8341ea7d25d30c4a05c
188,188,0,eaff1c00ceff4000c0ff4600dcff5000aca25659e6c3d85c7a077431e034a003
189,189,0,faff3e00ceff2000e2ff460030003000baf9a63de834b804c25d46c1c05cb0a5
190,190,0,1c000c00300010004600c0ff4000bcff56599cccd85cf6a594315ea7400480c4
191,191,0,3e000c001000defff2ffd0ffdcff3000f6466ca3580536c488c98a0860a5b035
192,192,0,daffdaffeeff0000c0ff3600bcff70006ad97aebf6a638331ca3605a60c3e05c
193,193,0,faff1c00ceff2000c0ff4600dcff40000ca0465336c2c85da6fb083c1034c004
194,194,0,eaff4e00deff2000460036004000dcff0aece6478832c806005a08ca305d00a6
195,195,0,2e001c003000ceff0400aeff4000bcff6653ead8b85d86a6683b2ca3d00470c3
196,196,0,1c00faff2000ceffe2ffe2ffdcffecff96470ca0680676c228cbb6fc00a64034
197,197,0,0c00faffdeff1000c0ff4600ccff6000dad8faebd6a608332ca3005a70c3505d
198,198,0,daff2e00deff2000d0ff5800ccff30000ca0465376c2a85dd6fb483bb034f003
199,199,0,0c003e00eeff30005800f2ff6000ccffaaec3647f832a806305a98caf05c20a6
200,200,0,2e000c004000beff4600c0fffcffdcff16539ad8685d96a6283b6ca3e00420c4
201,201,0,3e00c8ff1000aeff0400c0ffdcffdcff96471ca0480566c2f8ca46fce0a57034
202,202,0,0c00faffdeff0000d0ff4600dcff6000fad88aec46a628333ca3605a70c3f05c
203,203,0,daff2e00ceff20009eff6800dcff40001ca0b65356c2585dd6fbe83a90348004
204,204,0,eaff6000eeff20004600e2ff5000fcff0aed764728334806405af8c9e05c00a6
205,205,0,3e001c001000ceff6800c0ff7000dcff56532ad8985d96a6383b7ea3700420c4
206,206,0,0c00daff500010003600aeffdcffecff86473ca0480686c2c8cab6fc20a63034
207,207,0,eaffeaffeeff1000d0ff4600dcff50006ad87aec86a608332ca3305ab0c3005d
208,208,0,b8ff1c00ceff3000e2ff4600ecff40002ca08653b6c2785d56fc583ab034d004
209,209,0,faff4e00deff300036004600500040007aecc64688335805305a88cad05cf0a5
210,210,0,0c00faff100000007a00e2fffcffdcff86530ad8185d96a6383b8ea3300400c4
211,211,0,2e00c8ff4000ceffe2ffd0fffcffecfff6462ca06805b6c298ca06fce0a58034
212,212,0,faffdaffdeff1000d0ff5800bcff50003ad89aec66a688337ea3805a50c4d05c
213,213,0,daff2e00ceff1000c0ff7a00dcff40003ca0b65386c2785d36fc383be0341004
214,214,0,0c002e00eeff10003600f2ff6000dcffaaecf64648335805605aa8c9b05cf0a5
215,215,0,3e000c005000eeff6800d0ff5000ccff76539ad8785d76a6d83b4ca34004d0c3
216,216,0,3e00daff1000ceff3600e2fffcffecfff6467ca0d81016c2d6c026fd50a5c034
217,217,0,0c00eaffeeff0000aeff2600bcff4000cad83aecc6ab7828eea6925da0c3e05c
218,218,0,eaff1c00ceff5000c0ff5800ecff50000ca0365376b9a85fe806363280349004
219,219,0,daff2e00deff40003600f2ff5000dcffdaebb647b8285812725d26c2005d20a6
220,220,0,3e00faff300000005800e2fffcffacff26534ad8b85f26ac16323ea77004d0c3
221,221,0,2e00eaff4000eefff2ffd0ffdcffecff96472ca00812f6b9a6c1080700a69034
222,222,0,0c00c8ffdeffeeffe2ff4600dcff5000cad81aec66ab88280ea7b25d20c4e05c
223,223,0,faff1c00ceff3000c0ff4600ccff40004ca02653c6b9a85f18070632d0345004
224,224,0,faff3e00eeff1000e2fff2ff400030002aec864768283812725d66c1e05c00a6
225,225,0,0c001c00400000004600e2ff6000dcff9653fad8c85f16ac46320ea7f003b0c3
226,226,0,6000daff3000deffe2ffd0ffdcffecff86471ca07812b6b9c6c1aa0840a6d034
227,227,0,0c00daffeeff1000e2ff4600acff60003ad81aecd6abc828fea6525d30c4005d
228,228,0,0c00eaffdeff3000aeff4600dcff40001ca07653e6b9d85f0807843180345004
229,229,0,faff4e0010001000f2ffe2ff6000fcff1aec86473829a812925d66c1005df0a5
230,230,0,0c000c002000eeff5800e2ff4000acff5653aad8a85fd6ab86325ea7800480c3
231,231,0,1c00eaff300010002600c0fffcffdcff26473ca0181216bad6c14a0700a67034
232,232,0,0c00eaff20000000aeff4600bcff40006ad8baebe6ab68283ea7a25de0c3005d
233,233,0,eaff0c00eeff4000e2ff4600dcff4000fc9f7653b6b9d85fca07b431a034e003
234,234,0,c8ff3e0010004000360004006000dcff7aec464768285812725d36c1e05c10a6
235,235,0,0c000c00400010006800c0fffcffdcff5653fad8b85ff6ab56323ea7400400c4
236,236,0,1c00eaff2000cefff2ffd0ffecfffcff46471ca00812f6b926c22a0830a67034
237,237,0,0c00daffceffeeffc0fff2ffbcff5000cad86aecd6ab38292ea7a25d00c4f05c
238,238,0,daff2e00eeff3000c0ff580020005000dc9f4653c6b9b85f2a072632b034b004
239,239,0,daff1c0020003000e2fff2ff5000ccff1aec2647d8280812825da6c1005d30a6
240,240,0,0c00eaff400020006800e2ff4000bcff46536ad8e85f76ab66327ea75004c0c3
241,241,0,4e00eaff3000eeff3600c0ffccff3000363e8ca0981166b908c9ba0790a58034
242,242,0,1c001c00ceff1000d0ff3600bcff40006ace4af8f6ab38295ca3b05a10c4c05c
243,243,0,eaff2e00eeff2000d0ff6800fcff60003ca2d65806bac85f46fca83ab034b004
244,244,0,faff3e0010003000260026004000ccff1af8c63eb8286812405a98c9f05c20a6
245,245,0,2e00eaff500000004600c0ff4000ccff7658eacee85fc6ab383b4ca36004c0c3
246,246,0,2e00daff1000eeff0400c0ffbcffdcffa63efca1e811b6b9f8c916fd20a6c034
247,247,0,faffdaffeeff1000c0ff4600ccff60002ace2af8d6abb8286ca3405aa0c3005d
248,248,0,eaff0c00beff4000c0ff5800dcff40001ca2b658e6b9a85f76fca83a70347004
249,249,0,0c004e0000002000f2ff36005000bcff3af8c63ec828d811505a18cac05c40a6
250,250,0,1c000c004000deff4600d0ff4000ccff66581acea85f26acd83aaea3600410c4
251,251,0,1c00eaff0000eeffd0ffc0ffdcffccff763e1ca25812f6b9b8ca56fc20a6f034
252,252,0,0c00faffceff3000c0fff2ffdcff70003ace5af8b6abc8282ca3905a50c4005d
253,253,0,eaff4e00beff6000c0ff8a00200040004ca2a65806bab85f66fcc83af0349004
254,254,0,0c004e0000004000f2ff46004000ccff9af8763e7828c811305ac8c9e05cf0a5
255,255,0,1c001c004000eeff5800e2ff4000ecffa658facdc85fa6ab283b3ca3100440c4
256,256,0,3e00daff3000defff2ffd0ffdcffccfff63e4ca2381206baf8c966fd10a6f034
257,257,0,faffeaff0000deffc0ff4600dcff60004ace3af886abb8285ca3605a10c4f05c
258,258,0,0c006000ceff2000e2ff580030000c002ca2a658f6b9b85f26fc483af034a004
259,259,0,a6ff1c00000020004600f2ff7000dcff6af8b63e68289812805a98ca405d30a6
260,260,0,2e002e004000deff5800e2ff5000dcffc658cacdb85f76ab583baea3b00450c4
261,261,0,3e00eaff3000deff3600c0ffdcffecffc63e2ca24812f6b9c8ca86fc30a6a034
262,262,0,1c00faffeeff2000c0ff4600bcff5000facd1af866aba8287ea3705a50c4d05c
263,263,0,c8ff2e00deff5000c0ff6800fcfffcff3ca2d65896b9a85fb6fc983ad0346004
264,264,0,daff3e00200040004600f2ff4000ecff7af8e63ea8280812605ab8c9a05ce0a5
265,265,0,0c00faff400000003600c0ff4000bcffa658facdd85fe6ab483b4ca3a00440c4
266,266,0,3e00eaff2000eefff2ffe2ff3000fcff863d5ca2b810e6b9b6c036fda0a5b034
267,267,0,0c00daff00001000c0ff3600bcfffcffbccc6af926ab98294ea7c25da0c4a05c
268,268,0,0c002e00deff1000aeff5800200050006ca2165996ba585f5a08c430d035d003
269,269,0,faff1c0010002000460004005000dcffeaf8a63d78296811925df6c0d05ce0a5
270,270,0,faff1c005000eeff6800c0ff4000ccffe6582acdb85f66aba431aea7c00330c4
271,271,0,2e00faff3000eeffe2ffe2ffccffccff163e5ca2281166ba66c1aa08c0a50035
272,272,0,0c00daffdeff1000d0ff3600acff40007acd1af9c6abb829fea6d25d30c4b05c
273,273,0,c8ff1c00eeff2000aeff4600fcfffcff3ca2065966ba985f0a08d6317035a004
274,274,0,eaff4e00000020003600f2ff6000fcffdaf8363e3829e811a25d96c0d05ce0a5
275,275,0,0c000c005000ceff6800d0ff4000dcff06593acda85f36abf6312ea7d00300c4
276,276,0,4e00eaff5000deff0400d0ffecffdcff063e5ca2a81126ba56c1aa08d0a58035
277,277,0,eafffaff20001000aefff2ffacff70001acdfaf846ab88291ea7a25d50c4d05c
278,278,0,eaff2e00ceff5000d0ff4600300050005ca2265926baa85f5a0704315035d003
279,279,0,a6ff6000000010004600f2ff7000ccff8af8963e68299811725d46c1e05cc0a5
280,280,0,0c00faff200000006800d0ff5000dcffd658bacda85f46abf6313ea7800420c4
281,281,0,3e00c8ff2000eeff0400aeffdcff2000663e2ca2b81146ba56c15a07e0a5e034
282,282,0,0c00b8ffceff0000c0ff0400acff30004acdbaf846ab58294ea7c25d40c4b05c
283,283,0,b8ff1c0000004000c0ff6800dcff40006ca2065946baa85faa07d6315035f003
284,284,0,faff3e0000001000f2ff36004000dcffdaf8563ea8291811b25df6c0c05ce0a5
285,285,0,3e00faff300020005800d0ff4000acff16595acdb85f56abe6312ea7200440c4
286,286,0,2e00faff4000deff4600c0ffccffecff163e3ca2881196bac6c1da08d0a5e034
287,287,0,faffdaff00001000d0ff2600ccff50009acddaf876ab7829fea6b25d00c4c05c
288,288,0,daff2e00ceff1000aeff3600ecff40002ca2465976ba985fba07d63160350004
289,289,0,eaff3e000000eeff040004004000dcffdaf8863ec8288811c25dc6c1c05c00a6
290,290,0,1c002e00500000004600e2ff4000acfff6580aceb85f66abe6318ea7200440c4
