Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out4[255:0]
150,150,0,3c009cff2c00c0ff0a00beff1c00dcffbc5806a6ea349ea578fe1ec8b8c7c8fd
151,151,0,d2ffe0ff0c00defffcffdcffecff1c0002f414cfa0c0e6059ea3163c48a9885b
152,152,0,f0ff0000ceff1c00ecff1a00ecff2c0016a23c431ead3c5d06d7d054c80f482d
153,153,0,e0ff5a00fefffefffcffecff3c000c0024df5c50c618a8240c4920eb585ee8b9
154,154,0,f0ff0e002c00eeff1a00ccff2c00dcff3c4e22e3ac5e30b4ec4b3ca1581ce8b1
155,155,0,0e00f0ff0c00c0fffcfffcfffcfffcff1c4666a1b61330b778db2ee818af1821
156,156,0,e0ffe0ffeeff1c00dcff1a00ecff0c00d4d2b2f0beaae8298ea2305398bd485e
157,157,0,8cff0e00eeff2c00dcff1a00ecff1c0076a4dc5660c38c5c26f9863f3831a80a
158,158,0,d2ff3c00eeff2c00ecff0a001c00dcff8002de38aa383602f459e0ca385a98a7
159,159,0,2c000e003a00eefffcffdcff2c00fcff5a5cc6c32c57aea4103250a768f9c8ca
160,160,0,1e00e0ff0c00feffdcffdcffdcff0c009e29b6aac4f0a2d1babd6e0bb8a2583f
161,161,0,00000e00deff0c00ccff0a00dcff3c0036b7a014dea16a4504aff45db8da2853
162,162,0,9cff2c00feff6800ccff0a000c002c00e6b38a5e82e25c4e061c4821384b48e8
163,163,0,f0ff4c000c001c000a00fcff3c00dcff3e2450198c50a2df865e54b2884988a1
164,164,0,2c00d2ff2c00deffecffdcffecffdcff5a5dc6ac6a432ea2c010e8b958d718eb
165,165,0,2c00e0ff1c000c00ccffccffbcff0c005008a6bfc2cf84f4a0a9de2c58a3d854
166,166,0,d2ff0000deff4a00beff6800ccff5c0018a6ce334ea57c588ec6d45bb8fc183d
167,167,0,aaff0000eeff0c00ecff0a001c001c0034cefa5856051a36343bc8fe385b88c8
168,168,0,0e000e001c001c001a00ccff1c00ccff1c42f2f5fc5c90c1d2558ea3282e98a8
169,169,0,4c00d2ff0c00ceff0a00ecffccffbcff9c5118a2b8259eac00ed26d648ba380e
170,170,0,3c009cffeeff0c00ccfffcffccff1c00d2e484dd50b546176ca1bc4838b1785e
171,171,0,00000000eeff2c00fcff1a001c002c0068a19c4dc0b6cc5e6ee66c4c881fb81d
172,172,0,aaff0e00eeff2c001a000a001c00ecff72efec4608281615a052a8db185ef8af
173,173,0,1e00e0ff4a000c007800ccff4c00bcffaa5624d48c5c0eab18417ea2180d28bc
174,174,0,0e00e0ff2c00c0ff0a00ccffbcffecff8c3948a46603f0c2f2cc96f8d8a7a830
175,175,0,0e00e0ffdeffeeffecff1a00ecff2c00c6c4e000dea49a3710a7e45988c9885a
176,176,0,f0ff0e00deff2c00ecff1a00ecff0c0068aa3a5c42d16c577e09d031983ef8f9
177,177,0,0e001e000c00feff1a00ecff3c00ecffd0127e2ada4414f2c45dfabda85318a3
178,178,0,1e00f0ff2c00deff1a00ccff2c00ccff9a5e86b84c4fdea1ca22e4ae88e9a8d9
179,179,0,0e00d2fffeffeefffcffecffecff2c00801a56b3a2e0b2e116b3461b78a1984a
180,180,0,e0ffe0ffdeff1c00dcff1a00ccff2c0036ae5e230ea29c4f98b8665ec8e9c849
181,181,0,d2ff2c00b0ff2c000a000a001c000c0006bf9a5dc4f25a444e2bc211485468d8
182,182,0,e0ff0e002c00fefffcffbeff2c00dcff0e3340083c5882d0e45bf0a9a83d38a3
183,183,0,0e00f0ff3a00b0ff0a00aeffecffdcff3a59b8a6aa36fea43a00bec588c928fb
184,184,0,0000d2fffeffeeffccfffcfffcff2c00c2f6f4ccd0c1e604fea3943a58a8c85a
185,185,0,0e002c00feff2c00dcff2a00ecff2c0068a25c41deabdc5c84d4c055480da82e
186,186,0,d2ff0e00c0ff1c00fcff0a002c00dcff44ddac519617a826ba4740ed685e88bb
187,187,0,8cff1e000c00feff0a00ccff0c00bcff6c4d62e5bc5e70b55c4d7ea1581e78b0
188,188,0,0e00f0ffeeff92fffcffbeff0c00ccff9c4788a12616c0b58addbce588b0781f
189,189,0,0000e0ffeeff0c00ccfffcffccff1c0024d562eeceabd8263ea2ce51f8ba585e
190,190,0,d2ff0e00c0ff1c00ccff1a001c002c00c8a3fa55f0c1ec5ca4f64841182fd80d
191,191,0,e0ff3c00feff3a00fcffdcff2c00dcffc2ffdc3afa36b6036259a2cc285b78a8
192,192,0,0000e0ff1c00eeff2a00dcffecffccffea5b26c64c584ea57033c0a648fbb8c8
193,193,0,1e0000002c000c00ccffdcfffcfffcffee2ba8a924f392cf0cbfee0868a3183d
194,194,0,f0ff0000deff2c00aeff0a00ccff3c00d6b86011fea1da43e4adc45d48d8a854
195,195,0,d2ff2c00deff2c00fcff3a00ecfffcff86b27a5ea2e00c50041a4a23284af8e9
196,196,0,f0ff3c001c001c000a00fcff3c00ecff4e22201b9c4e92e1745ef6b2084b78a1
197,197,0,3c0000003a00ceff1a00ecfffcfffcffba5da6ae0a451ea2021328b8a8d918e9
198,198,0,0e00c2fffeffeeffdcff0a00dcff1c00400ab6bdf2d144f112abac2a98a28853
199,199,0,f0ffd2ffceff4a00dcff2a00dcff3c0018a73e32cea4fc56aec4445c28fad83e
200,200,0,f0fff0ffeeff2c00fcfffcfffcff0c0044cbca5976031a3854396a00885a08ca
201,201,0,000000001c00deff1a00ecff3c000c009c40a2f7bc5cb0c2e0561ea42830f8a7
202,202,0,3c0000002c00cefffcffaeff1c000c008c5268a278283eabf2ee24d478bc580c
203,203,0,1e009cfffeffeeffecfffcfffcff2c0082e644dcc0b616155ea1ea46e8af385e
204,204,0,00000000deff0c00ccff1a000c001c0068a12c4ca0b4cc5eace3ac4d381e5820
205,205,0,e0ff3c00eefffefffcfffcff1c00dcff32ed8c4898255617de50bade585e98b1
206,206,0,f0ff00002c00deff2a00beff3c00dcff3c5594d54c5d6eac2842fea1080f38ba
