Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/adc1_a1_1[15:0],u3_adc_analysis/adc1_a2_1[15:0],u3_adc_analysis/adc1_a3_1[15:0],u3_adc_analysis/adc1_a4_1[15:0],u3_adc_analysis/adc1_a1_2[15:0],u3_adc_analysis/adc1_a2_2[15:0],u3_adc_analysis/adc1_a3_2[15:0],u3_adc_analysis/adc1_a4_2[15:0],u3_adc_analysis/adc2_a1_1[15:0],u3_adc_analysis/adc2_a2_1[15:0],u3_adc_analysis/adc2_a3_1[15:0],u3_adc_analysis/adc2_a4_1[15:0],u3_adc_analysis/adc2_a1_2[15:0],u3_adc_analysis/adc2_a2_2[15:0],u3_adc_analysis/adc2_a3_2[15:0],u3_adc_analysis/adc2_a4_2[15:0],u3_adc_analysis/adc3_a1_1[15:0],u3_adc_analysis/adc3_a2_1[15:0],u3_adc_analysis/adc3_a3_1[15:0],u3_adc_analysis/adc3_a4_1[15:0],u3_adc_analysis/adc3_a1_2[15:0],u3_adc_analysis/adc3_a2_2[15:0],u3_adc_analysis/adc3_a3_2[15:0],u3_adc_analysis/adc3_a4_2[15:0],u3_adc_analysis/adc4_a1_1[15:0],u3_adc_analysis/adc4_a2_1[15:0],u3_adc_analysis/adc4_a3_1[15:0],u3_adc_analysis/adc4_a4_1[15:0],u3_adc_analysis/adc4_a1_2[15:0],u3_adc_analysis/adc4_a2_2[15:0],u3_adc_analysis/adc4_a3_2[15:0],u3_adc_analysis/adc4_a4_2[15:0],u3_adc_analysis/time_4s_1
3085,3085,0,-4906,1224,5002,-876,-5086,560,5106,-270,8,6,6,10,-8,-10,-12,-4,1248,5256,-936,-5290,586,5338,-288,-5364,-8,-24,-10,-6,-8,-42,-26,12,0
3086,3086,0,-5150,-60,5138,376,-5166,-672,5058,1072,8,6,-28,10,-8,22,-12,-4,-12,5354,396,-5274,-714,5320,996,-5192,8,4,-26,12,24,20,-10,-22,0
3087,3087,0,-5002,-1300,4938,1648,-4826,-1944,4730,2214,-8,-10,-28,10,-8,22,22,10,-1346,5120,1658,-5010,-1962,4890,2240,-4728,-24,-24,8,44,8,4,-44,-6,0
3088,3088,0,-4578,-2476,4458,2790,-4290,-3002,4116,3306,8,38,-12,-4,-40,-10,6,-4,-2552,4570,2864,-4400,-3104,4188,3368,-3980,-24,-8,-10,-38,-40,36,-26,-6,0
3089,3089,0,-3876,-3502,3632,3768,-3422,-3970,3128,4176,-8,6,6,-4,-8,6,6,-4,-3576,3644,3872,-3444,-4046,3180,4260,-2910,-8,-14,-10,-6,8,-14,-26,-6,0
3090,3090,0,-2902,-4302,2642,4514,-2382,-4630,2090,4752,-24,22,6,10,-8,-10,6,-4,-4428,2612,4586,-2382,-4700,2032,4890,-1764,8,-14,8,-6,8,4,42,-6,0
3091,3091,0,-1792,-4804,1458,4918,-1162,-5030,818,5078,-8,6,22,10,24,6,6,10,-4940,1380,5046,-1120,-5124,714,5190,-458,24,-14,-10,-6,8,20,-10,12,0
3092,3092,0,-496,-5094,204,5094,158,-5046,-430,5046,-8,-10,6,10,-24,-10,6,-40,-5172,30,5190,240,-5172,-590,5174,884,24,20,8,-6,40,36,-10,12,0
3093,3093,0,772,-5030,-1106,4894,1434,-4788,-1674,4704,24,6,-12,-4,8,-10,6,10,-5092,-1244,5062,1536,-4892,-1874,4810,2178,24,4,-26,-6,8,4,-10,-6,0
3094,3094,0,2024,-4566,-2296,4382,2570,-4256,-2802,4064,24,6,-12,-4,-24,22,6,-4,-4732,-2546,4522,2790,-4350,-3078,4180,3346,-24,36,8,-22,-8,-24,-10,12,0
3095,3095,0,3134,-3886,-3356,3642,3606,-3406,-3794,3146,8,-10,6,10,8,6,6,10,-3982,-3598,3760,3826,-3528,-4046,3320,4230,-8,-58,-26,-22,-24,20,-10,-6,0
3096,3096,0,4020,-2906,-4214,2646,4394,-2370,-4566,2118,8,22,6,-24,-8,-10,-28,10,-3008,-4424,2750,4624,-2472,-4748,2176,4922,8,4,-26,-22,-24,-24,-26,-6,0
3097,3097,0,4682,-1796,-4822,1488,4930,-1206,-4998,864,8,38,6,-24,-8,22,-12,10,-1844,-5030,1562,5168,-1234,-5236,948,5276,24,4,24,12,8,-42,-26,-6,0
3098,3098,0,5042,-576,-5112,266,5122,50,-5160,-396,40,-26,-12,10,8,22,-28,-4,-570,-5352,260,5324,36,-5336,-352,5276,-24,-14,-10,28,-8,-14,8,12,0
3099,3099,0,5122,694,-5064,-1062,5026,1318,-4966,-1662,24,-10,-12,-4,24,22,6,-4,744,-5302,-1000,5226,1360,-5096,-1650,4988,-24,-14,-10,-6,-8,4,-10,-6,0
3100,3100,0,4810,1914,-4774,-2244,4586,2488,-4422,-2772,24,6,-12,26,8,-10,6,10,1998,-4830,-2264,4688,2590,-4524,-2798,4378,-24,-14,24,-6,24,-14,-26,-6,0
3101,3101,0,4276,2968,-4050,-3288,3846,3512,-3628,-3752,-8,6,-44,-4,8,22,6,10,3156,-4162,-3322,3974,3596,-3664,-3824,3510,24,-24,-10,12,24,-24,-26,-6,0
3102,3102,0,3430,3970,-3158,-4118,2890,4322,-2658,-4446,-8,-10,-28,-4,40,-26,-12,-24,4074,-3262,-4244,2960,4432,-2630,-4564,2392,72,4,-10,-6,8,20,8,-6,0
3103,3103,0,2378,4608,-2064,-4720,1770,4834,-1498,-4932,8,-10,6,10,-24,6,-12,-40,4736,-2060,-4864,1734,5032,-1440,-5040,1106,8,-24,-10,28,8,20,-10,12,0
3104,3104,0,1186,4998,-806,-5028,516,5060,-206,-5076,-8,-10,-28,-4,-8,-26,-12,10,5144,-786,-5184,438,5240,-102,-5184,-246,-40,-42,24,-6,24,4,-10,-6,0
3105,3105,0,-98,5060,466,-5012,-778,4998,1048,-4884,8,6,-12,-4,-8,-10,6,10,5208,544,-5216,-916,5112,1250,-5040,-1548,-24,4,24,-6,-24,4,-10,28,0
