Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/adc2_a1_1[15:0],u3_adc_analysis/adc2_a2_1[15:0],u3_adc_analysis/adc2_a3_1[15:0],u3_adc_analysis/adc2_a4_1[15:0],u3_adc_analysis/adc2_a1_2[15:0],u3_adc_analysis/adc2_a2_2[15:0],u3_adc_analysis/adc2_a3_2[15:0],u3_adc_analysis/adc2_a4_2[15:0],u3_adc_analysis/adc2_b1_1[15:0],u3_adc_analysis/adc2_b2_1[15:0],u3_adc_analysis/adc2_b3_1[15:0],u3_adc_analysis/adc2_b4_1[15:0],u3_adc_analysis/adc2_b1_2[15:0],u3_adc_analysis/adc2_b2_2[15:0],u3_adc_analysis/adc2_b3_2[15:0],u3_adc_analysis/adc2_b4_2[15:0],u3_adc_analysis/adc_en_vio_3
1065,1065,0,-24074,-24974,-23404,-19586,-14062,-6984,396,7822,2,8,26,-4,2,-10,-24,-4,0
1066,1066,0,14506,19816,23124,24476,23584,20300,15162,8078,2,-10,10,-4,-30,48,-8,-4,0
1067,1067,0,176,-8134,-15218,-20792,-24066,-24942,-23436,-19658,2,-26,10,-4,2,-42,-40,-20,0
1068,1068,0,-14094,-6984,444,7796,14426,19848,23172,24508,18,8,-8,14,-14,8,42,14,0
1069,1069,0,23536,20300,15162,8126,144,-8166,-15266,-20718,-14,48,-24,-4,18,-10,26,-4,0
1070,1070,0,-24114,-24910,-23436,-19674,-14062,-6984,412,7854,2,24,-8,-36,2,32,10,-52,0
1071,1071,0,14442,19790,23188,24476,23616,20300,15114,8126,2,-10,-24,30,18,8,26,-36,0
1072,1072,0,112,-8150,-15186,-20750,-24058,-24958,-23468,-19586,2,-10,-8,-4,18,8,26,30,0
1073,1073,0,-14110,-6968,428,7822,14458,19774,23156,24460,2,8,10,14,18,-10,10,14,0
1074,1074,0,23584,20232,15130,8126,144,-8150,-15170,-20750,-30,8,-8,-20,18,-26,10,-20,0
1075,1075,0,-24098,-24990,-23436,-19674,-14110,-7000,412,7838,-14,-26,10,30,2,-10,26,-20,0
1076,1076,0,14442,19816,23124,24492,23584,20264,15130,8142,2,8,10,-20,-46,8,10,14,0
1077,1077,0,144,-8118,-15202,-20734,-24042,-24990,-23372,-19658,34,-10,-8,-20,2,8,10,14,0
1078,1078,0,-14110,-6920,412,7854,14394,19800,23124,24508,-14,8,10,-36,2,8,26,30,0
1079,1079,0,23552,20248,15162,8142,128,-8150,-15218,-20718,2,-26,-8,30,18,8,10,14,0
1080,1080,0,-24098,-24990,-23388,-19618,-14062,-7000,396,7838,34,8,-24,-20,-14,8,-24,-4,0
1081,1081,0,14458,19816,23204,24508,23568,20284,15178,8126,2,-10,-8,-20,2,8,-8,30,0
1082,1082,0,160,-8166,-15234,-20702,-24042,-24942,-23420,-19640,18,8,10,-4,2,-10,26,14,0
1083,1083,0,-14046,-6984,396,7902,14426,19816,23140,24476,2,8,26,-4,-46,8,10,14,0
1084,1084,0,23584,20300,15178,8110,160,-8134,-15218,-20776,2,-10,10,-4,18,8,-8,-20,0
1085,1085,0,-24042,-24926,-23404,-19584,-14046,-6936,380,7822,2,-10,-24,-20,2,8,10,-20,0
1086,1086,0,14490,19848,23140,24524,23568,20300,15162,8142,18,-10,26,-4,34,8,-8,-20,0
1087,1087,0,160,-8182,-15170,-20750,-24058,-24974,-23388,-19616,-14,24,-40,14,2,24,-8,-4,0
1088,1088,0,-14046,-6904,396,7870,14442,19774,23204,24524,2,-10,-8,14,2,-26,-24,-20,0
1089,1089,0,23568,20364,15162,8110,128,-8102,-15218,-20792,-14,24,10,-4,34,-26,10,-4,0
1090,1090,0,-24058,-24990,-23436,-19640,-14062,-6984,444,7886,-14,-26,10,-4,18,8,10,-4,0
1091,1091,0,14474,19848,23188,24476,23584,20264,15194,8030,2,8,10,14,18,8,10,30,0
1092,1092,0,128,-8134,-15186,-20830,-24098,-24958,-23420,-19640,2,-10,10,14,2,8,10,-4,0
1093,1093,0,-14062,-6968,444,7870,14458,19864,23188,24428,18,-26,-24,30,18,-10,10,-20,0
1094,1094,0,23568,20332,15194,8110,144,-8182,-15218,-20750,-14,32,26,14,34,-10,-24,-20,0
1095,1095,0,-24026,-24958,-23436,-19672,-14046,-6984,412,7822,2,8,-8,-4,34,24,26,14,0
1096,1096,0,14410,19816,23204,24444,23584,20216,15114,8142,-30,48,-8,30,2,-10,10,-4,0
1097,1097,0,176,-8166,-15186,-20792,-24042,-24974,-23404,-19640,2,8,10,14,2,8,26,-4,0
1098,1098,0,-14094,-6968,396,7854,14394,19790,23156,24524,18,32,-8,30,18,-26,-8,-4,0
1099,1099,0,23568,20280,15162,8078,128,-8166,-15250,-20808,-30,-10,-8,14,18,8,-8,-4,0
1100,1100,0,-24130,-24974,-23436,-19568,-14062,-7000,412,7806,2,-26,-8,-20,2,8,-8,14,0
1101,1101,0,14442,19864,23108,24444,23536,20348,15098,8110,34,-10,10,-20,2,-10,26,14,0
1102,1102,0,112,-8198,-15202,-20686,-24098,-24942,-23404,-19672,18,8,10,-36,18,-10,26,-4,0
1103,1103,0,-14110,-7000,396,7886,14426,19774,23156,24492,34,-26,-24,14,2,-10,26,-4,0
1104,1104,0,23600,20316,15146,8078,160,-8166,-15202,-20750,34,-10,10,-4,34,24,26,-36,0
1105,1105,0,-24042,-24958,-23404,-19688,-14078,-6968,412,7854,18,-10,-24,-20,-14,8,26,-4,0
1106,1106,0,14442,19832,23172,24524,23600,20284,15162,8078,2,8,-24,-4,2,-10,10,14,0
1107,1107,0,112,-8182,-15218,-20824,-24098,-24942,-23420,-19640,34,-26,10,-20,18,24,26,-4,0
1108,1108,0,-14142,-6952,380,7822,14394,19816,23108,24492,-14,-10,10,30,34,-10,10,-4,0
1109,1109,0,23568,20280,15146,8158,96,-8150,-15266,-20776,-30,8,-24,-4,-14,-10,-40,-20,0
1110,1110,0,-24074,-24974,-23436,-19656,-14062,-6920,396,7854,2,-26,-24,14,2,8,10,14,0
1111,1111,0,14442,19848,23172,24476,23568,20284,15146,8110,2,8,-8,-20,-30,-26,10,-36,0
1112,1112,0,144,-8150,-15218,-20750,-24098,-25006,-23436,-19704,-14,24,42,14,2,-26,10,14,0
1113,1113,0,-14094,-6984,412,7854,14394,19742,23172,24460,18,8,-8,-4,2,-10,10,30,0
1114,1114,0,23568,20264,15130,8126,128,-8214,-15218,-20766,18,24,-8,14,2,-10,10,-4,0
1115,1115,0,-24130,-24958,-23436,-19656,-14110,-7000,412,7902,2,8,-40,-4,18,-10,-8,14,0
1116,1116,0,14442,19790,23140,24460,23568,20264,15178,8110,-30,-10,-24,-4,18,-42,-8,-20,0
1117,1117,0,128,-8150,-15218,-20792,-24114,-24990,-23436,-19656,18,8,-24,14,18,-10,-24,14,0
1118,1118,0,-14094,-6984,412,7870,14410,19774,23156,24476,2,-10,10,-36,2,-10,-24,14,0
1119,1119,0,23504,20284,15162,8078,160,-8214,-15234,-20776,-30,8,-24,14,-14,8,10,-20,0
1120,1120,0,-24082,-24974,-23420,-19584,-14030,-7000,380,7854,-30,8,-24,14,2,-26,-8,-4,0
1121,1121,0,14426,19832,23172,24476,23568,20316,15162,8142,2,-42,26,-20,2,8,-24,14,0
1122,1122,0,128,-8198,-15218,-20798,-24098,-24942,-23436,-19600,2,8,-8,-20,-14,8,10,-4,0
1123,1123,0,-14078,-6968,412,7838,14410,19790,23140,24476,34,8,-8,-4,-14,-10,-8,14,0
1124,1124,0,23504,20264,15146,8110,80,-8182,-15202,-20830,-14,-10,10,-20,-14,-26,10,14,0
1125,1125,0,-24130,-24990,-23436,-19672,-14046,-6952,444,7886,18,8,10,14,18,-10,-24,-4,0
1126,1126,0,14474,19816,23172,24460,23552,20300,15162,8078,-30,-26,10,-20,2,8,10,-20,0
1127,1127,0,112,-8166,-15170,-20846,-24130,-24958,-23420,-19656,18,8,-24,-4,-14,-26,10,-36,0
1128,1128,0,-14094,-6936,444,7838,14458,19774,23124,24508,2,-10,10,30,-30,24,-8,30,0
1129,1129,0,23568,20316,15146,8094,112,-8166,-15218,-20776,2,8,-8,30,18,8,-24,14,0
1130,1130,0,-24098,-24958,-23404,-19672,-14078,-6952,444,7918,2,8,42,-20,18,-10,-24,-20,0
1131,1131,0,14442,19832,23140,24476,23648,20316,15098,8110,2,-10,-24,14,2,-26,10,-4,0
1132,1132,0,160,-8182,-15234,-20830,-24074,-24990,-23452,-19672,-14,-10,26,-36,2,8,-8,14,0
1133,1133,0,-14046,-6904,412,7870,14458,19880,23204,24492,18,-10,10,14,-14,-26,-24,14,0
1134,1134,0,23552,20332,15178,8142,176,-8086,-15218,-20776,18,8,-24,-20,-14,-10,-40,-4,0
1135,1135,0,-24050,-24942,-23420,-19640,-14142,-6952,428,7902,18,-26,-8,30,18,24,26,14,0
1136,1136,0,14410,19790,23156,24492,23600,20300,15114,8094,18,8,10,-4,18,-10,10,14,0
1137,1137,0,112,-8150,-15186,-20798,-24082,-24942,-23420,-19656,2,-10,-8,30,2,24,26,30,0
1138,1138,0,-14062,-6968,428,7918,14442,19832,23140,24524,2,-10,-24,-4,2,-42,10,30,0
1139,1139,0,23552,20268,15210,8094,96,-8166,-15186,-20792,2,-26,-24,-36,-14,24,10,14,0
1140,1140,0,-24082,-24926,-23420,-19616,-14078,-6968,444,7854,2,24,-8,-4,2,8,10,-4,0
1141,1141,0,14490,19864,23220,24524,23536,20300,15114,8110,18,24,-24,-4,-14,-10,10,-20,0
1142,1142,0,96,-8182,-15186,-20718,-24082,-24958,-23468,-19656,18,8,10,14,2,8,-24,-20,0
1143,1143,0,-14062,-6968,380,7902,14458,19880,23188,24508,18,8,-40,-4,2,24,10,14,0
1144,1144,0,23552,20284,15130,8078,112,-8198,-15218,-20750,2,8,-8,-20,2,48,-8,-20,0
1145,1145,0,-24098,-24974,-23404,-19616,-14062,-6952,476,7886,2,24,26,14,2,8,26,-4,0
1146,1146,0,14458,19790,23172,24492,23616,20280,15146,8110,34,-26,10,-20,18,8,-24,-4,0
1147,1147,0,144,-8182,-15218,-20734,-24026,-24974,-23420,-19656,2,24,-24,-4,2,-10,10,-20,0
1148,1148,0,-14094,-6936,412,7918,14458,19816,23188,24476,34,8,10,-20,2,-10,-8,-4,0
1149,1149,0,23600,20300,15114,8062,96,-8166,-15234,-20792,-14,-10,-8,30,18,-10,-24,-20,0
1150,1150,0,-24130,-24958,-23436,-19688,-14078,-6968,428,7838,-14,-26,26,-4,2,8,26,30,0
1151,1151,0,14442,19790,23204,24524,23568,20280,15114,8078,-30,-26,42,-20,-14,8,-24,-4,0
1152,1152,0,128,-8198,-15218,-20814,-24098,-24974,-23388,-19584,2,-10,26,14,18,-42,26,30,0
1153,1153,0,-14046,-6968,444,7886,14474,19790,23124,24476,2,-10,-8,-4,2,-26,26,-4,0
1154,1154,0,23520,20264,15130,8078,144,-8150,-15218,-20808,18,32,10,14,34,-10,-8,14,0
1155,1155,0,-24178,-24942,-23372,-19656,-14126,-6968,380,7950,18,8,10,-4,2,-10,-8,14,0
1156,1156,0,14474,19848,23124,24492,23568,20200,15130,8110,-14,-26,26,-20,-14,24,10,-20,0
1157,1157,0,128,-8166,-15298,-20792,-24130,-24958,-23388,-19584,34,-10,26,-4,18,-10,10,-4,0
1158,1158,0,-14094,-6920,396,7902,14410,19816,23156,24476,18,24,26,-4,2,8,-8,-4,0
1159,1159,0,23536,20280,15098,8126,144,-8182,-15250,-20734,2,-10,10,-4,-14,-10,-24,-20,0
1160,1160,0,-24114,-24974,-23404,-19704,-14110,-6968,460,7918,18,-10,26,14,34,-26,10,-36,0
1161,1161,0,14426,19790,23140,24492,23568,20332,15130,8078,-14,-26,42,14,34,-10,-24,-36,0
1162,1162,0,80,-8214,-15234,-20830,-24098,-25006,-23388,-19656,18,-10,-24,14,18,8,-8,-4,0
1163,1163,0,-14110,-6984,460,7902,14442,19774,23172,24492,-14,24,10,-4,34,24,-24,14,0
1164,1164,0,23520,20300,15130,8046,112,-8198,-15250,-20792,18,8,10,-4,2,48,-24,30,0
1165,1165,0,-24130,-24942,-23404,-19672,-14046,-6952,428,7886,2,-10,10,-4,18,-10,26,14,0
1166,1166,0,14506,19790,23172,24492,23568,20280,15130,8062,2,-26,10,-4,18,-10,26,-4,0
1167,1167,0,112,-8166,-15250,-20750,-24042,-24910,-23420,-19672,2,8,10,-36,18,-10,10,46,0
1168,1168,0,-14078,-6952,428,7822,14490,19896,23172,24492,18,-26,26,46,2,-10,-24,14,0
1169,1169,0,23552,20332,15162,8126,96,-8246,-15266,-20824,18,8,10,46,2,-26,-8,-4,0
1170,1170,0,-24114,-24942,-23388,-19640,-14094,-6968,444,7854,2,8,10,-4,18,-10,10,-20,0
1171,1171,0,14442,19816,23156,24524,23552,20332,15162,8110,2,-26,-8,14,-14,-10,-8,14,0
1172,1172,0,112,-8230,-15266,-20792,-24074,-24990,-23404,-19672,18,-10,-24,-4,18,8,26,30,0
1173,1173,0,-14046,-6920,428,7886,14410,19790,23140,24460,18,-10,26,14,18,-10,-24,-20,0
1174,1174,0,23552,20248,15114,8094,144,-8198,-15266,-20830,2,-10,26,14,18,8,-24,-20,0
1175,1175,0,-24130,-24942,-23420,-19632,-14110,-6904,396,7854,-14,-10,10,14,2,8,-8,30,0
1176,1176,0,14490,19848,23220,24460,23504,20264,15130,8078,2,8,-8,30,34,8,10,-36,0
1177,1177,0,112,-8198,-15250,-20862,-24146,-24990,-23404,-19704,2,8,-8,30,18,-26,10,-4,0
1178,1178,0,-14094,-6984,428,7854,14474,19774,23172,24508,18,8,26,-20,34,48,10,14,0
1179,1179,0,23552,20300,15082,8062,128,-8198,-15282,-20846,-30,-10,26,-20,2,8,10,30,0
1180,1180,0,-24074,-25006,-23484,-19616,-14110,-6920,412,7870,18,8,-24,-4,2,64,10,30,0
1181,1181,0,14474,19832,23172,24508,23600,20300,15130,8046,34,-10,10,-4,18,8,26,-4,0
1182,1182,0,64,-8198,-15250,-20830,-24130,-24958,-23404,-19640,-14,-26,10,-4,18,48,10,-4,0
1183,1183,0,-14094,-6936,444,7934,14538,19864,23156,24476,18,-26,10,-4,2,-10,10,14,0
1184,1184,0,23584,20316,15162,8110,128,-8182,-15234,-20750,18,24,-24,14,2,8,10,46,0
1185,1185,0,-24082,-24894,-23436,-19704,-14094,-6920,444,7902,34,-26,10,-36,2,-10,10,-4,0
1186,1186,0,14474,19848,23204,24524,23584,20248,15162,8078,34,-26,26,-4,34,8,42,14,0
1187,1187,0,128,-8214,-15250,-20776,-24098,-24958,-23372,-19584,18,-10,-40,-4,34,-26,26,14,0
1188,1188,0,-14062,-6936,476,7918,14506,19832,23220,24476,18,-10,10,-4,2,-26,26,-4,0
1189,1189,0,23520,20232,15162,8110,144,-8230,-15202,-20808,2,8,10,-20,18,-26,10,-4,0
1190,1190,0,-24146,-24942,-23420,-19584,-13998,-6936,412,7886,18,24,-8,-4,2,-10,26,46,0
1191,1191,0,14474,19848,23140,24492,23536,20264,15098,8094,2,8,-8,-4,34,-26,-8,-4,0
1192,1192,0,112,-8182,-15234,-20792,-24130,-24942,-23388,-19656,18,-10,-8,14,-14,8,26,-4,0
1193,1193,0,-14110,-6968,460,7902,14458,19832,23156,24524,2,8,-8,14,34,8,-24,30,0
1194,1194,0,23552,20232,15130,8078,64,-8182,-15218,-20776,2,8,58,46,2,24,10,14,0
1195,1195,0,-24042,-24958,-23404,-19656,-14046,-6952,428,7870,2,-26,10,-4,18,-26,26,-4,0
1196,1196,0,14490,19848,23172,24460,23536,20248,15098,8110,2,8,10,-4,2,8,-24,14,0
1197,1197,0,128,-8182,-15234,-20734,-24146,-24974,-23388,-19584,18,-10,-8,-20,-30,-10,26,-4,0
1198,1198,0,-13998,-6920,444,7854,14426,19896,23252,24524,-14,-10,26,-20,-30,8,10,-4,0
1199,1199,0,23552,20284,15146,8110,96,-8214,-15250,-20750,18,-10,10,-4,34,8,10,14,0
1200,1200,0,-24114,-24958,-23404,-19640,-14046,-6904,492,7918,18,8,-24,-4,34,8,10,-4,0
1201,1201,0,14506,19790,23204,24492,23600,20332,15130,8062,34,8,-8,-4,18,8,-8,30,0
1202,1202,0,128,-8166,-15218,-20776,-24082,-24926,-23372,-19568,2,-42,10,-4,-30,-26,26,14,0
1203,1203,0,-14046,-6904,476,7886,14506,19896,23188,24492,18,8,10,30,2,8,-8,14,0
1204,1204,0,23568,20348,15130,8110,144,-8166,-15202,-20792,34,8,-8,-20,18,-10,10,-20,0
1205,1205,0,-24130,-24958,-23420,-19640,-14014,-6904,428,7902,18,8,42,-4,34,8,26,-4,0
1206,1206,0,14442,19864,23188,24444,23568,20300,15082,8062,2,32,-8,14,2,8,26,-20,0
1207,1207,0,80,-8198,-15250,-20830,-24146,-24958,-23388,-19584,2,24,10,-20,2,32,10,-20,0
1208,1208,0,-14062,-6904,412,7870,14442,19832,23204,24524,-14,32,10,-4,2,-10,-24,-4,0
1209,1209,0,23488,20316,15162,8126,128,-8198,-15234,-20830,2,8,10,14,2,-10,-8,14,0
1210,1210,0,-24130,-24974,-23372,-19616,-14078,-6920,428,7886,18,8,10,-4,2,24,10,14,0
1211,1211,0,14506,19880,23172,24492,23584,20264,15162,8078,-30,24,10,14,-14,24,10,30,0
1212,1212,0,64,-8182,-15202,-20830,-24114,-24974,-23404,-19616,18,-10,10,14,2,-10,10,-4,0
1213,1213,0,-14062,-6968,444,7886,14474,19880,23236,24524,34,-10,10,-4,18,8,10,-20,0
1214,1214,0,23584,20332,15114,8078,80,-8214,-15250,-20862,-14,-10,-8,-36,2,-10,10,-20,0
1215,1215,0,-24114,-24974,-23356,-19584,-14094,-6952,476,7934,2,8,-8,-4,-14,8,-24,30,0
1216,1216,0,14474,19816,23220,24508,23584,20264,15162,8046,-30,8,10,30,-30,-10,10,-20,0
1217,1217,0,80,-8198,-15202,-20830,-24098,-24958,-23452,-19616,-30,8,42,-36,18,24,10,14,0
1218,1218,0,-14046,-6968,364,7934,14522,19864,23236,24508,-14,64,10,-4,2,-26,10,30,0
1219,1219,0,23552,20332,15114,8046,48,-8166,-15202,-20830,18,8,-24,-20,34,8,-24,-4,0
1220,1220,0,-24162,-24942,-23404,-19584,-14062,-6920,428,7918,2,8,-8,-4,2,8,-8,14,0
1221,1221,0,14506,19832,23108,24556,23536,20300,15114,8094,-14,-26,-24,-20,-14,-10,10,-4,0
1222,1222,0,80,-8230,-15250,-20862,-24082,-25006,-23420,-19672,34,-10,10,-52,18,-10,-8,14,0
1223,1223,0,-14094,-7000,476,7886,14490,19832,23188,24492,2,8,-24,14,2,-10,26,-4,0
1224,1224,0,23584,20264,15114,8062,112,-8214,-15266,-20814,18,8,10,-4,-14,24,10,-20,0
1225,1225,0,-24098,-24990,-23404,-19640,-14046,-6968,460,7950,2,8,26,30,2,-10,-24,14,0
1226,1226,0,14474,19880,23172,24460,23568,20280,15130,8062,-14,8,26,-4,18,24,-8,-20,0
1227,1227,0,64,-8166,-15234,-20750,-24082,-24958,-23372,-19672,18,48,-8,30,2,-26,-40,-4,0
1228,1228,0,-14062,-6920,444,7918,14506,19880,23220,24556,-14,8,26,14,-14,-10,-8,-20,0
1229,1229,0,23584,20284,15130,8094,128,-8166,-15266,-20824,34,-26,10,-4,18,-10,-8,-4,0
1230,1230,0,-24042,-24942,-23452,-19624,-14110,-6904,492,7902,2,8,26,-4,-30,-26,10,-20,0
1231,1231,0,14442,19848,23188,24444,23584,20300,15114,8094,18,-26,-24,30,18,8,26,-4,0
1232,1232,0,64,-8246,-15250,-20830,-24074,-24942,-23420,-19584,34,-26,10,14,18,24,-8,-4,0
1233,1233,0,-14046,-6888,444,7902,14506,19880,23140,24508,2,-26,-8,-4,2,8,10,14,0
1234,1234,0,23568,20216,15114,8046,96,-8182,-15186,-20878,2,8,26,-20,18,-10,-8,-4,0
1235,1235,0,-24146,-24974,-23420,-19656,-14030,-6920,476,7902,18,24,-8,-4,2,8,-8,-4,0
1236,1236,0,14490,19790,23172,24476,23536,20300,15050,8046,18,48,-24,30,2,-26,10,46,0
1237,1237,0,80,-8230,-15234,-20846,-24098,-24974,-23468,-19568,18,-10,-8,14,-30,-26,10,14,0
1238,1238,0,-14030,-6872,460,7902,14458,19848,23172,24524,-30,8,26,14,18,-10,26,-20,0
1239,1239,0,23520,20248,15114,8110,144,-8198,-15250,-20830,18,-26,10,-4,2,-10,-8,14,0
1240,1240,0,-24162,-24974,-23404,-19568,-13998,-6888,428,7886,18,8,-24,-4,-30,8,42,-4,0
1241,1241,0,14490,19816,23140,24492,23568,20300,15082,8110,-14,8,10,-4,2,-10,10,-20,0
1242,1242,0,112,-8246,-15250,-20830,-24146,-24958,-23388,-19616,18,-26,-24,-4,18,-10,26,-20,0
1243,1243,0,-14046,-6920,444,7950,14458,19806,23172,24508,18,-10,10,14,18,-10,26,14,0
1244,1244,0,23552,20316,15162,8094,96,-8230,-15266,-20814,-30,-42,-24,-4,2,24,-8,-4,0
1245,1245,0,-24098,-24958,-23372,-19616,-14030,-6936,460,7886,2,8,-24,-4,-14,24,-24,-4,0
1246,1246,0,14458,19896,23172,24492,23568,20264,15162,8046,-30,-10,10,14,-14,24,-8,-20,0
1247,1247,0,96,-8262,-15266,-20750,-24146,-24990,-23420,-19616,2,-10,10,-20,18,32,-24,-4,0
1248,1248,0,-14046,-6952,460,7918,14490,19864,23156,24476,18,-10,10,-4,18,8,10,-4,0
1249,1249,0,23584,20248,15066,8030,80,-8214,-15250,-20830,2,-10,-8,-20,-30,-10,-8,-20,0
1250,1250,0,-24130,-24974,-23436,-19656,-14078,-6904,552,7902,2,-10,26,-20,2,-10,26,-20,0
1251,1251,0,14506,19832,23140,24476,23568,20248,15098,8062,-46,8,-24,14,18,-10,26,-20,0
1252,1252,0,80,-8166,-15250,-20750,-24114,-24990,-23388,-19640,18,-10,-8,-36,2,-10,-8,-20,0
1253,1253,0,-14014,-6936,428,7950,14490,19880,23124,24492,2,-10,10,-4,18,-26,-8,14,0
1254,1254,0,23552,20284,15146,8030,64,-8214,-15234,-20846,2,-26,-8,-20,-30,-42,-24,30,0
1255,1255,0,-24114,-24942,-23404,-19584,-13960,-6952,444,7918,-14,8,10,-20,2,8,10,14,0
1256,1256,0,14506,19880,23236,24508,23552,20268,15066,8030,34,8,10,-4,18,8,10,-20,0
1257,1257,0,48,-8214,-15234,-20814,-24114,-24926,-23372,-19616,2,-42,10,-36,18,-10,-8,-4,0
1258,1258,0,-14078,-6904,492,7934,14474,19758,23156,24460,2,-42,10,-36,34,8,-24,-4,0
1259,1259,0,23584,20248,15146,8030,96,-8214,-15266,-20792,2,8,26,30,18,8,10,-20,0
1260,1260,0,-24114,-24942,-23404,-19616,-14046,-6952,428,7950,2,-10,-24,-4,2,-10,10,-4,0
1261,1261,0,14474,19880,23140,24492,23520,20280,15082,8046,50,-10,-24,-20,34,32,-24,-4,0
1262,1262,0,112,-8214,-15298,-20814,-24074,-24942,-23388,-19640,18,8,10,-20,2,24,-8,-4,0
1263,1263,0,-14046,-6888,460,7918,14458,19896,23188,24444,18,-10,10,30,-46,8,-24,30,0
1264,1264,0,23488,20248,15114,8014,64,-8246,-15234,-20846,18,-10,10,30,-30,8,-8,14,0
1265,1265,0,-24162,-24958,-23388,-19584,-14046,-6952,460,7918,-14,-42,-8,-4,18,8,26,-4,0
1266,1266,0,14506,19848,23124,24476,23552,20216,15130,8046,2,-10,26,-20,2,-42,-24,14,0
1267,1267,0,112,-8182,-15314,-20830,-24098,-24990,-23436,-19600,2,24,10,-4,-30,-10,10,-4,0
1268,1268,0,-14014,-6920,492,7854,14538,19848,23220,24492,2,-10,-24,-4,18,8,26,14,0
1269,1269,0,23568,20232,15050,8078,112,-8230,-15218,-20862,34,8,10,-20,18,32,10,14,0
1270,1270,0,-24114,-24878,-23420,-19568,-14014,-6920,492,7902,-14,8,10,14,18,-10,-24,30,0
1271,1271,0,14490,19832,23188,24524,23568,20248,15066,8030,-30,8,26,30,-14,8,-8,-4,0
1272,1272,0,112,-8246,-15250,-20862,-24066,-24990,-23388,-19584,-46,8,-8,-4,-14,8,-40,30,0
1273,1273,0,-14110,-6920,476,7918,14474,19832,23156,24476,2,48,10,-36,18,8,-24,14,0
1274,1274,0,23568,20300,15114,8078,48,-8198,-15266,-20824,50,-10,10,-36,2,-26,10,-20,0
1275,1275,0,-24114,-24942,-23388,-19640,-13998,-6904,460,7934,2,8,42,30,18,8,26,-36,0
1276,1276,0,14474,19848,23156,24508,23600,20280,15050,8046,2,24,26,-4,18,48,-8,-4,0
1277,1277,0,80,-8230,-15234,-20846,-24114,-24974,-23420,-19616,-30,-74,10,14,2,-10,-8,14,0
1278,1278,0,-14014,-6904,476,7918,14474,19848,23220,24492,34,-10,-8,-4,2,-10,10,14,0
1279,1279,0,23536,20264,15098,8030,96,-8294,-15266,-20830,2,-10,10,14,2,8,-8,14,0
1280,1280,0,-24082,-24974,-23372,-19656,-14046,-6904,492,7966,2,8,10,14,2,-10,-8,-4,0
1281,1281,0,14458,19864,23172,24476,23568,20300,15114,8014,18,-10,-24,14,2,8,10,-4,0
1282,1282,0,48,-8246,-15202,-20814,-24130,-24974,-23404,-19568,18,-26,10,46,18,-26,-8,-4,0
1283,1283,0,-14094,-6920,476,7934,14490,19848,23140,24492,2,8,-8,-4,-30,-26,10,14,0
1284,1284,0,23552,20284,15082,8046,80,-8230,-15250,-20846,18,-26,-24,-4,34,-10,10,-20,0
1285,1285,0,-24178,-24990,-23372,-19552,-14046,-6920,444,7934,18,8,-8,14,18,8,-24,-4,0
1286,1286,0,14490,19880,23156,24492,23568,20300,15098,8030,-14,-42,10,-4,34,-10,-8,-4,0
1287,1287,0,80,-8230,-15266,-20798,-24130,-24958,-23388,-19616,-14,-26,26,-4,-14,-26,-24,-20,0
1288,1288,0,-14014,-6872,492,7998,14538,19864,23140,24476,2,-10,10,14,18,-26,-24,-20,0
1289,1289,0,23552,20232,15130,8030,32,-8214,-15266,-20808,2,24,-8,-20,-14,-26,26,-20,0
1290,1290,0,-24098,-24958,-23372,-19640,-14030,-6936,476,7966,2,-26,10,-4,18,-26,-8,14,0
1291,1291,0,14506,19880,23220,24492,23568,20248,15082,8014,18,-26,-24,-20,2,8,-8,30,0
1292,1292,0,48,-8262,-15282,-20830,-24130,-24942,-23420,-19672,2,-26,-24,-20,2,-10,-8,-4,0
1293,1293,0,-14062,-6920,460,7966,14490,19800,23140,24460,2,-26,-8,14,2,-10,26,14,0
1294,1294,0,23568,20300,15130,8030,112,-8246,-15266,-20814,18,8,-24,-20,2,24,10,-20,0
1295,1295,0,-24114,-24990,-23404,-19600,-14062,-6920,508,7886,2,8,26,14,2,-10,10,-20,0
1296,1296,0,14474,19848,23140,24492,23568,20248,15066,8094,18,-42,-24,-20,2,8,10,-4,0
1297,1297,0,64,-8230,-15234,-20808,-24146,-24974,-23404,-19624,2,-10,10,-4,-30,8,-24,-36,0
1298,1298,0,-14046,-6888,444,7918,14522,19864,23172,24524,34,8,-24,30,2,-10,-8,-20,0
1299,1299,0,23552,20284,15098,8046,64,-8214,-15314,-20830,-14,-10,10,-20,-14,8,-24,14,0
1300,1300,0,-24130,-24894,-23436,-19568,-14030,-6936,444,7918,18,-26,10,-4,18,8,10,-36,0
1301,1301,0,14506,19880,23172,24508,23552,20264,15114,8030,-14,24,10,-4,18,8,26,30,0
1302,1302,0,48,-8230,-15266,-20808,-24058,-24974,-23372,-19568,2,24,-24,14,-30,-10,10,14,0
1303,1303,0,-13998,-6936,476,7870,14506,19864,23204,24508,2,-26,10,14,-30,8,-8,-4,0
1304,1304,0,23568,20248,15098,8078,96,-8182,-15282,-20830,18,-10,10,14,-14,-10,-24,-4,0
1305,1305,0,-24114,-24990,-23404,-19568,-14046,-6920,492,7934,2,-26,10,14,2,8,-24,-20,0
