Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/adc1_a1_1[15:0],u3_adc_analysis/adc1_a2_1[15:0],u3_adc_analysis/adc1_a3_1[15:0],u3_adc_analysis/adc1_a4_1[15:0],u3_adc_analysis/adc1_a1_2[15:0],u3_adc_analysis/adc1_a2_2[15:0],u3_adc_analysis/adc1_a3_2[15:0],u3_adc_analysis/adc1_a4_2[15:0],u3_adc_analysis/adc1_b1_1[15:0],u3_adc_analysis/adc1_b2_1[15:0],u3_adc_analysis/adc1_b3_1[15:0],u3_adc_analysis/adc1_b4_1[15:0],u3_adc_analysis/adc1_b1_2[15:0],u3_adc_analysis/adc1_b2_2[15:0],u3_adc_analysis/adc1_b3_2[15:0],u3_adc_analysis/adc1_b4_2[15:0],u3_adc_analysis/adc_en_vio_2
1202,1202,0,-3890,-11544,-18112,-22574,-24552,-24208,-21548,-16932,-8,-12,-20,4,8,6,-20,4,0
1203,1203,0,-10548,-3314,4258,11106,17166,21484,23836,24070,24,6,-20,4,24,-12,-4,4,0
1204,1204,0,22076,17886,11662,4254,-3938,-11560,-18042,-22558,-8,-28,14,20,-52,6,14,-14,0
1205,1205,0,-24584,-24256,-21612,-16952,-10564,-3362,4290,11106,24,22,-4,20,8,6,-4,4,0
1206,1206,0,17134,21484,23868,24002,22044,17854,11614,4222,8,38,14,-30,8,22,-36,4,0
1207,1207,0,-4018,-11598,-18096,-22590,-24616,-24176,-21532,-16932,8,-12,-4,4,-8,22,-4,4,0
1208,1208,0,-10580,-3378,4210,11074,17134,21484,23916,24070,-52,6,-20,20,40,54,-20,20,0
1209,1209,0,22060,17918,11694,4270,-3970,-11598,-18128,-22558,24,6,-4,-30,24,-28,14,20,0
1210,1210,0,-24632,-24192,-21564,-16984,-10596,-3362,4274,11050,8,6,30,20,24,6,14,4,0
1211,1211,0,17150,21532,23852,24086,22140,17902,11678,4254,24,-12,-20,-14,24,6,14,4,0
1212,1212,0,-3986,-11544,-18112,-22622,-24536,-24240,-21580,-16932,24,6,-4,20,8,22,-4,-30,0
1213,1213,0,-10612,-3378,4274,11090,17150,21516,23900,24150,-8,-12,-4,4,24,22,14,20,0
1214,1214,0,22092,17854,11662,4190,-3986,-11598,-18112,-22542,8,6,-4,4,24,-12,-4,4,0
1215,1215,0,-24616,-24208,-21532,-16948,-10628,-3394,4274,11122,-52,22,-4,-30,56,-12,-4,4,0
1216,1216,0,17134,21468,23852,24102,22060,17870,11646,4254,40,6,-20,20,8,6,-20,4,0
1217,1217,0,-3970,-11598,-18112,-22542,-24632,-24240,-21596,-16916,24,6,-4,20,24,22,-4,-30,0
1218,1218,0,-10580,-3394,4258,11122,17166,21468,23884,24054,-52,22,30,4,24,-12,-4,4,0
1219,1219,0,22076,17854,11630,4238,-3986,-11598,-18096,-22542,8,-12,-20,36,24,6,-20,20,0
1220,1220,0,-24678,-24224,-21564,-16968,-10564,-3378,4242,11106,8,38,14,-14,24,6,-20,36,0
1221,1221,0,17166,21484,23868,24070,22044,17822,11630,4222,-36,-12,-20,4,8,6,-4,4,0
1222,1222,0,-3986,-11598,-18144,-22526,-24616,-24208,-21596,-16968,-8,6,-4,54,-8,-12,-20,-14,0
1223,1223,0,-10580,-3464,4258,11106,17166,21500,23868,24054,8,6,-4,4,-8,22,14,4,0
