Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0]
171,171,0,1a000a002e00dcfff0ffb0fff0ffe0ff685a40bdca5072a58e2720b08aeffad9
172,172,0,2a00c8ffecffdcffb0ffb0ffc0ffe0ffbc2adcad9af252d642c0ca0deaa5da40
173,173,0,1a00f8ffdcfffcffd0ff2200b0ff0000b2c2140c72a6343fa0ac145a6ad3ca52
174,174,0,c8ff0a00acff3e00f0ff2200f0ff00005cab185910d11a547a082e2e4a3cfaf5
175,175,0,e8fff8fffcff0e00f0fff0ff1000b0ff52057e30e239ecf8445872c41a557aa7
176,176,0,2a00f8ff2e00acff2200d0fff0ffb0ff565782c76c5632a850330eaa6afceacd
177,177,0,4a00d8ff2e00ccffe0fff0ff000010003e362ca940006ecba2ca6a026aa93a37
178,178,0,e8ffe8ffdcff2e00b0ff2200c0ff900034cdf0fd62aa2034dea70456eac7ca57
179,179,0,f8ff0a00bcff2e00d0ff2200000030002aa7d654ccc52c58a8fa50387a319a03
180,180,0,e8ff2a001e001e000200f0ff1000f0ffaef7d03b9e2e8206e25364d08a59daab
181,181,0,0a00f8ff3e00dcff5200f0ff2000d0ff265206d3fc59f4ac103e6ea69a0adac2
182,182,0,3a00d8ff1e009cffd0ffb0ffd0fff0ff8240caa5e40d9ac004d628f3aaaeea2a
183,183,0,0a00e8ffdcffecfff0ff2200a0ff600028d95ef064b03c285ea56251eabd9a5a
184,184,0,e8ff4a00ccff3e0002005200f0ff1000eaa4344f08bcec5a46eda043da24ca10
185,185,0,e8ff2a00ecff2e000200f0ff1000d0ff6cea12452a22f613524db4db2a5b2ab2
186,186,0,1a00f8ff3e00ccff2200b0ff0000b0ff944b68df8e5b66b3a247aea48a178ab9
187,187,0,3a00e8ff3e00dcff2200b0fff0fff0ff9449aaa4281b58b7a6e2d6e64ab6fa1e
188,188,0,1a00e8ffccffecfff0ff2200e0ff60001ae61ae308b8e81b8ea46249fab46a5b
189,189,0,d8ffe8ffbcff2e00b0ff2200c0ff20007aa4524776b37c5bb6df324b2a189a1e
190,190,0,c8ff1a00fcfffcff220002005000c0ff38dd744d86158a218245b6e91a5b0aba
191,191,0,0a001a003e00dcff3200e0ff7000b0ffe2425ceccc5ad8bba24f1ea5fa24aab1
192,192,0,0a00d8ff1e00dcff1200f0ffe0ffe0ffb6504aa56c2734b0b8ef44d95abe2a11
193,193,0,3a00c8ffdcffdcffd0ffd0ffc0ff10001ef376d65ac1740efea570401aae5a5a
194,194,0,f8ff2a00bcff3e0012006200f0ff1000aaa6603ee4acfc5914d4a2523a0b8a2a
195,195,0,e8ff2a00dcff5e00120032003000100056d0b6539207ae2d603b08f6ea585ac3
196,196,0,f8ff1a001e00ecff1200c0ff1000b0ffa03860fa3c58ccc574557ea7aa300aab
197,197,0,2a00d8ff3e00bcfff0ffd0ff0000e0ff76564ca8803342aab8fd54cedac8fa03
198,198,0,3a00e8fffcffecfff0ff1200e0ff3000920124cbaecb80005ea9c0350aa94a57
199,199,0,f8ffe8ffccff0e00d0ff2200d0ff60008caafe32f2a71c56d2c72457bafc8a36
200,200,0,d8ff0a00ccff0e00020022000000e0ffe2c528580efad2383e30ca04ca542ace
201,201,0,f8ff3a002e00ecff520002003000d0ff9c2d14089a5300d16459a0ab1a3cfaa6
202,202,0,3a000a001e00ccff0200f0fff0ff1000d8590cad543e82a65a0ba2c20ad42af6
203,203,0,0a0096ffecffccffe0fff0ffb0ff6000d40e12c032d71af3a0ae9e2a8aa5ea51
204,204,0,1a00e8ffbcff0e00c0ff3200f0ff20004eb07a2762a57a5022bea45afaee0a41
205,205,0,c8ff3a00ccff4e00120002002000f0ff70bb285be8ebb643fe238c117a4ebada
206,206,0,e8ff1a00ecffecff1200d0ff6000d0fffa204615d84c54dd545b80b2ca45daa4
207,207,0,0a00f8ff1e00bcff3200a0ffe0ffb0ff685b0eb4e64782a45c1980b9dae0cae8
208,208,0,2a00b8ff0e00ccffd0ff0200d0ff0000281c2eb7b6e386e520b6ac1daaa4fa4a
209,209,0,f8fff8ffdcfffcffb0ff4200b0ff5000f0b7981a50a40649c0b4745bdae10a4a
210,210,0,b8ff1a00ccff1e00c0ff0200f0ffe0ffeeb2485be4deb84bbc167c1fda46cae6
211,211,0,f8ff2a002e00ecff1200f0ff6000e0fff6136a22d64498ea545bd0b9ea4ddaa4
212,212,0,3a000a002e00dcff4200e0ff1000e0ffe85ac0bc6a4f22a5ce2500b12aee2adb
213,213,0,4a00d8ff0e00ccffd0fff0ffc0ff30007c289cafcaf092d8e2be1c115aa5ea41
214,214,0,0a00d8ffecff2e00d0ff1200d0ff000032c1540de2a5544000ae445a2ad5fa50
215,215,0,e8ff2a00fcff3e00e0ff22001000f0ffacacb859b0d27a52da09be2afa3c5af4
216,216,0,e8ff3a000e003e00320002002000e0ff12061c2e523bdcf7d45822c41a54aaa6
217,217,0,e8ffe8ff2e00dcff0200b0ffe0ffc0ff185842c60a5562a79e3110ab0afb5acf
218,218,0,1a00c8ff1e00acfff0fff0ffd0ff10003e341caa2eff7ecc92c93a029aa83a38
219,219,0,e8ffd8ffdcff0e00e0ff2200d0ff600084cc10ff92a99035aea8a4577ac99a56
220,220,0,b8ff2a00dcff2e00b0ff2200e0ff50009aa7e6557cc77c5778fbf037ca32ea02
221,221,0,d8ff2a001e001e00f0ffe0ff6000d0ffbef7e0399e2f6005a25444ce9a589aaa
222,222,0,2a001a005e00dcff4200d0ff2000d0ff765396d12c5904ac603cbea69a096ac4
223,223,0,1a00d8ff1e00ccff1200e0fff0ff0000203f4aa6540c1ac2a4d4c8f5aaadea2c
224,224,0,1a00f8ffccfffcffc0fff0ffd0ff100086d79ef194aeac29bea5e2512ac02a5a
225,225,0,e8ff2a00ccff1e00c0ff4200c0ff10005aa596506abd8c5a56eec0404a26da0f
226,226,0,d8ff3a00ecff0e00020002005000f0ff3cebb243ca23b612b24ee4da0a5bcab0
227,227,0,e8ff1a002e00ecff1200c0ff0000d0ff144db8dd6c5b46b242461ea5ba16baba
228,228,0,2a00d8ff1e00bcff0200d0ffc0ffc0ff94486aa4381ae8b856e176e72ab42a20
229,229,0,1a00e8ffecfffcffd0ff1200b0ff50008ae46ae436b6081daea4824b9ab69a5b
230,230,0,e8ff2a00ccff3e00f0ff3200e0ff30005aa4f44886b47c5ba6e0c24aea19ca1d
231,231,0,c8ff3a00dcff1e00f0ff02002000e0ffe8dd144c66164a20d246f6e66a5b5ab8
232,232,0,f8ff0a001e00dcff4200b0ff1000d0ffb2442ceb3c5b58baa24ebea42a243ab2
233,233,0,3a00e8ff3e00dcff1200f0ff00000000c44f1aa58c26e6b086ee44dbeabcaa12
234,234,0,f8ffb8ffdcffecffe0ff1200d0ff7000bef186d7cabe940f8ea500421aafaa5a
