Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/adc1_a1_1[15:0],u3_adc_analysis/adc1_a2_1[15:0],u3_adc_analysis/adc1_a3_1[15:0],u3_adc_analysis/adc1_a4_1[15:0],u3_adc_analysis/adc1_a1_2[15:0],u3_adc_analysis/adc1_a2_2[15:0],u3_adc_analysis/adc1_a3_2[15:0],u3_adc_analysis/adc1_a4_2[15:0],u3_adc_analysis/adc2_a1_1[15:0],u3_adc_analysis/adc2_a2_1[15:0],u3_adc_analysis/adc2_a3_1[15:0],u3_adc_analysis/adc2_a4_1[15:0],u3_adc_analysis/adc2_a1_2[15:0],u3_adc_analysis/adc2_a2_2[15:0],u3_adc_analysis/adc2_a3_2[15:0],u3_adc_analysis/adc2_a4_2[15:0],u3_adc_analysis/adc3_a1_1[15:0],u3_adc_analysis/adc3_a2_1[15:0],u3_adc_analysis/adc3_a3_1[15:0],u3_adc_analysis/adc3_a4_1[15:0],u3_adc_analysis/adc3_a1_2[15:0],u3_adc_analysis/adc3_a2_2[15:0],u3_adc_analysis/adc3_a3_2[15:0],u3_adc_analysis/adc3_a4_2[15:0],u3_adc_analysis/adc4_a1_1[15:0],u3_adc_analysis/adc4_a2_1[15:0],u3_adc_analysis/adc4_a3_1[15:0],u3_adc_analysis/adc4_a4_1[15:0],u3_adc_analysis/adc4_a1_2[15:0],u3_adc_analysis/adc4_a2_2[15:0],u3_adc_analysis/adc4_a3_2[15:0],u3_adc_analysis/adc4_a4_2[15:0],u3_adc_analysis/time_4s_1
976,976,0,10934,3466,-12838,4744,9968,-11028,-3392,13040,11222,4516,-13982,4290,11390,-11302,-4248,13990,-20,24,8,-22,-4,8,-26,-6,0,0,0,0,0,0,0,0,0
977,977,0,-5052,-9988,11332,2912,-13000,5130,9724,-11326,-4492,-11174,11402,4082,-14034,4692,11098,-11620,-20,24,-10,-56,60,-8,8,12,0,0,0,0,0,0,0,0,0
978,978,0,-2800,13086,-5528,-9636,11332,2574,-12806,5556,-3846,13964,-4934,-10944,11742,3560,-13982,5120,28,8,-10,-6,12,-24,8,-6,0,0,0,0,0,0,0,0,0
979,979,0,9498,-11518,-2556,12960,-5762,-9504,11674,2156,10846,-11812,-3428,13974,-5282,-10658,11944,3190,-20,8,-58,-38,-4,24,-10,28,0,0,0,0,0,0,0,0,0
980,980,0,-12920,5854,9118,-11630,-1994,12958,-6154,-9156,-13938,5478,10490,-12106,-2966,13890,-5750,-10354,-4,8,-10,12,28,8,8,-22,0,0,0,0,0,0,0,0,0
981,981,0,11684,1742,-12742,6222,8988,-11822,-1818,12848,12140,2774,-13918,5866,10222,-12260,-2524,13878,-20,24,-26,12,-4,40,-26,-38,0,0,0,0,0,0,0,0,0
982,982,0,-6560,-8898,11992,1230,-12808,6588,8608,-12034,-6098,-10104,12358,2346,-13858,6256,9926,-12542,12,8,40,-56,-4,-8,-10,-38,0,0,0,0,0,0,0,0,0
983,983,0,-1194,12798,-6750,-8494,12090,912,-12582,6914,-2120,13810,-6544,-9706,12562,1938,-13806,6662,12,-8,24,-38,12,8,-26,12,0,0,0,0,0,0,0,0,0
984,984,0,8420,-12146,-756,12668,-7204,-8244,12332,518,9578,-12614,-1714,13750,-6886,-9454,12700,1446,28,-40,8,12,28,-24,-10,12,0,0,0,0,0,0,0,0,0
985,985,0,-12578,7322,7960,-12332,-374,12536,-7532,-7892,-13682,7090,9240,-12846,-1298,13666,-7240,-9068,28,8,-10,-38,28,24,-10,-38,0,0,0,0,0,0,0,0,0
986,986,0,12378,172,-12360,7608,7628,-12428,70,12412,12970,1024,-13574,7444,8898,-12976,-812,13580,60,8,24,-56,12,24,24,-22,0,0,0,0,0,0,0,0,0
987,987,0,-7934,-7584,12524,-294,-12434,7920,7394,-12556,-7676,-8770,13108,552,-13442,7776,8672,-13194,12,-8,-26,-6,12,-56,-42,-56,0,0,0,0,0,0,0,0,0
988,988,0,428,12344,-8158,-7232,12618,-656,-12116,8274,-378,13406,-8024,-8448,13210,118,-13326,8146,-4,-8,24,-22,-20,-24,-10,-22,0,0,0,0,0,0,0,0,0
989,989,0,7054,-12654,808,12162,-8414,-6916,12752,-1164,8244,-13332,64,13292,-8354,-8102,13356,-374,-20,-8,-10,-38,-20,-8,-10,-6,0,0,0,0,0,0,0,0,0
990,990,0,-12050,8542,6672,-12846,1186,12030,-8690,-6484,-13210,8470,7812,-13434,444,13134,-8684,-7700,-20,8,-10,-72,12,-24,8,-38,0,0,0,0,0,0,0,0,0
991,991,0,12794,-1506,-11908,8838,6358,-12798,1622,11842,13522,-790,-13038,8892,7488,-13554,944,13014,-4,8,40,-22,-20,-8,24,12,0,0,0,0,0,0,0,0,0
992,992,0,-9060,-6198,12944,-1920,-11762,9192,5928,-13022,-9072,-7404,13596,-1136,-12874,9100,7132,-13694,-68,40,-10,-6,-4,8,-26,-38,0,0,0,0,0,0,0,0,0
993,993,0,2056,11560,-9420,-5786,12962,-2288,-11426,9446,1362,12800,-9388,-6960,13698,-1624,-12710,9488,-36,8,-10,-38,12,-8,8,-22,0,0,0,0,0,0,0,0,0
994,994,0,5608,-12962,2598,11408,-9690,-5474,13006,-2702,6758,-13730,1870,12638,-9738,-6628,13780,-2070,-4,-56,-10,-22,-20,-40,8,-6,0,0,0,0,0,0,0,0,0
995,995,0,-11410,9772,5316,-13102,2846,11252,-9950,-5094,-12524,9886,6358,-13878,2246,12480,-9994,-6098,-20,24,-10,44,-36,-8,-10,-38,0,0,0,0,0,0,0,0,0
996,996,0,12978,-3014,-11138,9986,4846,-13074,3492,11056,13872,-2428,-12304,10158,5984,-13890,2682,12206,-20,-8,-10,-22,12,-40,-10,12,0,0,0,0,0,0,0,0,0
997,997,0,-10290,-4590,13006,-3526,-10888,10264,4422,-13134,-10320,-5846,13908,-2964,-12086,10418,5612,-14022,-4,8,-26,-38,-52,-24,-10,-56,0,0,0,0,0,0,0,0,0
998,998,0,3742,10764,-10402,-4244,13074,-3892,-10610,10508,3166,12062,-10580,-5332,13936,-3308,-11884,10686,28,-24,-10,-6,-20,-8,8,-6,0,0,0,0,0,0,0,0,0
999,999,0,4062,-13090,4152,10460,-10680,-3924,13070,-4260,5138,-13986,3598,11748,-10878,-5006,13994,-3824,-4,-8,-26,-22,-68,24,-26,-6,0,0,0,0,0,0,0,0,0
1000,1000,0,-10434,10700,3764,-13134,4462,10264,-10768,-3462,-11590,10970,4796,-14022,3948,11556,-11100,-4486,-36,24,24,12,12,40,-10,-6,0,0,0,0,0,0,0,0,0
1001,1001,0,13026,-4606,-10110,11056,3244,-13010,4906,9954,14016,-4256,-11324,11338,4338,-13970,4392,11210,-4,-24,-10,-6,-36,24,-10,-38,0,0,0,0,0,0,0,0,0
1002,1002,0,-11064,-3142,13022,-5110,-9850,11170,3086,-13054,-11414,-4176,13994,-4614,-11134,11556,4004,-14022,44,24,-26,-22,-52,24,-42,28,0,0,0,0,0,0,0,0,0
1003,1003,0,5320,9692,-11298,-2686,13010,-5490,-9610,11424,4826,11024,-11656,-3648,14000,-5006,-10820,11764,12,-40,-10,-22,-36,40,-26,-6,0,0,0,0,0,0,0,0,0
1004,1004,0,2470,-12978,5720,9390,-11506,-2304,12960,-5850,3454,-13938,5252,10670,-11942,-3292,13924,-5332,-4,8,-10,12,-4,56,-26,-6,0,0,0,0,0,0,0,0,0
1005,1005,0,-9298,11678,2010,-13022,6046,9176,-11680,-1856,-10576,12078,3058,-14006,5648,10402,-12146,-2852,-4,8,-10,-56,-4,-24,8,12,0,0,0,0,0,0,0,0,0
1006,1006,0,12882,-6182,-8952,11890,1554,-12782,6332,8774,13888,-5814,-10254,12216,2614,-13890,6066,10094,-36,-56,-26,-22,-36,24,-10,-6,0,0,0,0,0,0,0,0,0
1007,1007,0,-11954,-1442,12800,-6532,-8724,12030,1200,-12862,-12364,-2350,13828,-6194,-9978,12480,2140,-13878,-4,24,-26,28,-4,-8,-42,-6,0,0,0,0,0,0,0,0,0
1008,1008,0,6694,8590,-11988,-1100,12730,-6932,-8372,12178,6342,9854,-12480,-1974,13794,-6612,-9706,12654,-4,8,-10,-6,-36,40,-26,-22,0,0,0,0,0,0,0,0,0
1009,1009,0,836,-12654,7204,8258,-12210,-640,12640,-7280,1760,-13746,6836,9424,-12732,-1624,13700,-6976,-4,24,-42,-38,-36,-24,-26,-6,0,0,0,0,0,0,0,0,0
1010,1010,0,-8126,12344,326,-12508,7388,7904,-12242,-278,-9386,12832,1352,-13630,7152,9132,-12886,-1104,-36,-8,-10,-38,-36,-8,-10,12,0,0,0,0,0,0,0,0,0
1011,1011,0,12474,-7616,-7808,12444,26,-12444,7720,7592,13586,-7420,-8996,13014,922,-13524,7572,8876,-36,8,-10,-6,-4,-8,-74,-38,0,0,0,0,0,0,0,0,0
1012,1012,0,-12450,92,12364,-7956,-7460,12568,-382,-12268,-13050,-774,13484,-7804,-8658,13150,488,-13386,-20,8,-42,-22,-20,40,-26,-6,0,0,0,0,0,0,0,0,0
1013,1013,0,8034,7258,-12456,582,12228,-8244,-7230,12684,7918,8422,-13246,-262,13378,-8102,-8278,13292,-20,8,-26,-22,-52,8,-26,12,0,0,0,0,0,0,0,0,0
1014,1014,0,-780,-12162,8300,6914,-12712,912,12174,-8526,28,-13300,8296,8098,-13354,182,13228,-8496,-20,24,-10,-6,-68,-24,-26,-6,0,0,0,0,0,0,0,0,0
1015,1015,0,-6774,12782,-1254,-11954,8692,6604,-12630,1410,-7980,13454,-468,-13178,8580,7776,-13454,600,-4,-8,-26,-22,-20,-8,8,-6,0,0,0,0,0,0,0,0,0
1016,1016,0,11898,-8814,-6448,12848,-1586,-11838,8926,6222,13082,-8802,-7600,13548,-872,-12960,8992,7380,-4,-24,-10,-22,-20,-8,8,-6,0,0,0,0,0,0,0,0,0
1017,1017,0,-12856,1864,11818,-9204,-6112,12910,-2238,-11614,-13618,1060,12964,-9148,-7174,13634,-1268,-12846,28,-8,8,12,-36,-8,40,-56,0,0,0,0,0,0,0,0,0
1018,1018,0,9354,5854,-12758,2220,11540,-9456,-5750,12976,9290,7010,-13606,1542,12724,-9470,-6784,13750,-20,-24,40,-56,12,8,-26,-6,0,0,0,0,0,0,0,0,0
1019,1019,0,-2410,-11454,9628,5440,-12968,2558,11578,-9784,-1698,-12614,9616,6614,-13778,1906,12540,-9778,-20,-8,-26,12,-4,24,8,-56,0,0,0,0,0,0,0,0,0
1020,1020,0,-5354,13022,-2994,-11262,9808,5162,-12838,2976,-6440,13842,-2166,-12474,9944,6272,-13854,2378,-4,-24,-26,-6,-36,-24,-10,12,0,0,0,0,0,0,0,0,0
1021,1021,0,11142,-10004,-5146,13088,-3226,-11044,10064,4744,12370,-10120,-6092,13878,-2614,-12228,10230,5834,-36,-8,-26,-38,-36,8,-42,12,0,0,0,0,0,0,0,0,0
1022,1022,0,-13000,3386,11108,-10290,-4604,13070,-3858,-10754,-13890,2814,12184,-10338,-5682,13948,-3124,-12106,60,-8,-10,12,-4,8,24,-22,0,0,0,0,0,0,0,0,0
1023,1023,0,10334,4292,-12926,3834,10670,-10464,-4262,13072,10478,5414,-13982,3238,11932,-10658,-5238,13942,-20,-40,-42,-6,-36,-24,8,-6,0,0,0,0,0,0,0,0,0
1024,1024,0,-3978,-10592,10462,3962,-12984,4180,10350,-10706,-3454,-11812,10834,5056,-13986,3624,11698,-10960,-36,-8,-26,12,-20,-8,-26,12,0,0,0,0,0,0,0,0,0
1025,1025,0,-3754,13176,-4502,-10338,10870,3578,-12942,4564,-4842,14012,-3940,-11650,11126,4676,-13998,4114,-20,-24,-10,-22,-4,8,-42,-6,0,0,0,0,0,0,0,0,0
1026,1026,0,10168,-10964,-3630,13088,-4812,-10102,11204,3024,11438,-11206,-4424,13958,-4348,-11286,11322,4178,-36,8,-26,12,-4,40,-26,44,0,0,0,0,0,0,0,0,0
1027,1027,0,-12984,4958,9836,-11198,-2928,13086,-5352,-9800,-13986,4532,11162,-11376,-4022,14044,-4702,-11072,28,-8,-26,12,-4,-8,-10,12,0,0,0,0,0,0,0,0,0
1028,1028,0,11316,2734,-12822,5336,9594,-11422,-2682,12992,11598,3858,-13998,4960,10910,-11716,-3652,13974,-20,-24,-26,-6,28,-8,-10,12,0,0,0,0,0,0,0,0,0
1029,1029,0,-5634,-9536,11594,2300,-12904,5742,9134,-11582,-5114,-10770,11794,3380,-13986,5334,10602,-12074,-68,24,-26,-6,-20,-24,-10,-22,0,0,0,0,0,0,0,0,0
1030,1030,0,-2154,12958,-6060,-9300,11652,1992,-12774,6084,-3198,13980,-5502,-10486,12124,2980,-13950,5754,-52,24,-26,12,-20,-24,-26,28,0,0,0,0,0,0,0,0,0
1031,1031,0,9132,-11758,-1834,12880,-6336,-8994,11896,1490,10334,-12212,-2748,13910,-5970,-10200,12248,2394,-4,8,8,12,-68,40,24,-6,0,0,0,0,0,0,0,0,0
1032,1032,0,-12792,6444,8720,-11922,-1338,12814,-6670,-8622,-13874,6096,10006,-12410,-2248,13842,-6330,-9906,28,-8,-10,-6,-20,8,-26,12,0,0,0,0,0,0,0,0,0
1033,1033,0,11962,1114,-12598,6802,8452,-12082,-818,12700,12530,2018,-13838,6494,9752,-12566,-1874,13798,-4,8,8,-6,-68,-8,8,28,0,0,0,0,0,0,0,0,0
1034,1034,0,-7062,-8398,12284,678,-12610,7138,8140,-12236,-6694,-9604,12588,1606,-13714,6882,9384,-12798,-20,8,-42,-6,12,-24,8,-38,0,0,0,0,0,0,0,0,0
1035,1035,0,-572,12654,-7436,-7988,12378,304,-12424,7508,-1458,13682,-7128,-9164,12906,1240,-13590,7300,-36,24,-58,-6,-20,40,-26,-6,0,0,0,0,0,0,0,0,0
1036,1036,0,7842,-12370,-174,12492,-7692,-7760,12492,-166,9058,-12912,-940,13580,-7500,-8930,13028,744,12,-8,-26,-6,-52,-8,-26,-6,0,0,0,0,0,0,0,0,0
1037,1037,0,-12386,7824,7578,-12492,218,12392,-8030,-7360,-13506,7654,8720,-13130,-600,13470,-7840,-8592,-68,-24,-26,12,-4,8,-26,-38,0,0,0,0,0,0,0,0,0
1038,1038,0,12538,-496,-12180,8088,7118,-12572,602,12210,13210,362,-13406,7970,8420,-13204,-94,13372,-36,24,-10,-6,-36,-56,-58,-38,0,0,0,0,0,0,0,0,0
1039,1039,0,-8350,-6996,12736,-994,-12162,8394,6720,-12742,-8124,-8200,13324,-146,-13274,8338,8010,-13402,-20,8,-42,-22,-4,-24,-26,-22,0,0,0,0,0,0,0,0,0
1040,1040,0,1106,12078,-8546,-6692,12746,-1330,-11940,8758,284,13230,-8604,-7804,13458,-550,-13102,8714,-4,-8,-26,-22,-68,-8,-42,-22,0,0,0,0,0,0,0,0,0
1041,1041,0,6534,-12782,1558,11922,-8932,-6368,12848,-1744,7568,-13476,776,13062,-8848,-7570,13548,-976,-68,24,-42,12,-36,8,-10,-6,0,0,0,0,0,0,0,0,0
1042,1042,0,-11842,8974,6156,-12974,1864,11774,-9324,-5882,-12954,9020,7260,-13662,1250,12928,-9220,-7072,28,24,8,-22,-20,-8,-10,-6,0,0,0,0,0,0,0,0,0
1043,1043,0,12882,-2166,-11600,9270,5790,-12962,2234,11528,13650,-1528,-12806,9376,6854,-13666,1624,12718,-36,-8,24,-22,-36,-24,24,28,0,0,0,0,0,0,0,0,0
1044,1044,0,-9490,-5650,13006,-2522,-11458,9628,5466,-13086,-9546,-6756,13732,-1878,-12604,9636,6502,-13830,-52,-8,-10,12,12,8,-26,-6,0,0,0,0,0,0,0,0,0
1045,1045,0,2734,11186,-9872,-5238,12914,-2918,-11218,9890,2054,12544,-9866,-6310,13794,-2268,-12384,10030,-20,24,24,-6,-4,24,-26,-6,0,0,0,0,0,0,0,0,0
1046,1046,0,4942,-13042,3342,11120,-10114,-4818,13054,-3318,6166,-13858,2482,12302,-10154,-6010,13892,-2698,-20,-8,-26,-6,-52,8,8,-22,0,0,0,0,0,0,0,0,0
1047,1047,0,-11000,10200,4666,-13150,3608,10844,-10222,-4420,-12182,10318,5724,-13990,2966,12126,-10462,-5514,-20,8,-26,-22,-20,-8,-10,-6,0,0,0,0,0,0,0,0,0
1048,1048,0,13090,-3648,-10626,10412,4222,-13058,4008,10572,13952,-3180,-12012,10574,5330,-13938,3282,11882,-20,-8,-26,12,-36,-24,-58,12,0,0,0,0,0,0,0,0,0
1049,1049,0,-10594,-4004,13070,-4132,-10562,10620,3938,-13102,-10750,-5086,13940,-3616,-11742,10876,4940,-14054,-4,-24,-26,-6,-4,-24,-10,12,0,0,0,0,0,0,0,0,0
1050,1050,0,4350,10360,-10674,-3658,13058,-4478,-10238,10976,3804,11652,-11052,-4678,13984,-4046,-11460,11146,-20,8,-26,-22,-36,-8,-26,12,0,0,0,0,0,0,0,0,0
1051,1051,0,3496,-13026,4666,10066,-11016,-3280,13022,-5014,4498,-13970,4242,11338,-11286,-4336,14026,-4422,-68,24,-10,12,-52,-24,-42,-22,0,0,0,0,0,0,0,0,0
1052,1052,0,-9970,11084,3166,-13102,5162,9836,-11298,-2846,-11214,11440,4084,-14086,4698,11136,-11508,-3872,12,56,-10,12,-36,24,-58,-38,0,0,0,0,0,0,0,0,0
1053,1053,0,13010,-5378,-9754,11360,2582,-12962,5498,9586,14032,-4874,-10956,11684,3708,-13970,5076,10774,-84,24,-26,-38,-36,8,-42,12,0,0,0,0,0,0,0,0,0
1054,1054,0,-11490,-2448,12944,-5670,-9458,11610,2074,-13022,-11750,-3530,13956,-5216,-10734,11950,3194,-14022,12,-24,-58,-22,-52,-24,-26,-6,0,0,0,0,0,0,0,0,0
1055,1055,0,5838,9320,-11664,-2058,12850,-6038,-9048,11778,5458,10508,-12060,-2996,13968,-5612,-10366,12136,-52,24,-26,-6,-36,-8,-58,-6,0,0,0,0,0,0,0,0,0
1056,1056,0,1784,-12878,6204,8950,-11810,-1666,12784,-6436,2790,-13890,5858,10222,-12262,-2664,13844,-6002,-20,8,-42,12,-20,8,-26,-22,0,0,0,0,0,0,0,0,0
1057,1057,0,-8852,11950,1384,-12910,6598,8670,-11972,-1196,-10058,12480,2322,-13878,6262,9902,-12464,-2150,-4,-40,-58,-56,12,8,-42,-22,0,0,0,0,0,0,0,0,0
1058,1058,0,12714,-6736,-8450,12146,996,-12686,7060,8322,13778,-6458,-9802,12574,1952,-13794,6676,9626,-36,24,-26,-22,-36,8,-42,-6,0,0,0,0,0,0,0,0,0
1059,1059,0,-12130,-820,12624,-7200,-8238,12312,474,-12572,-12636,-1736,13748,-6806,-9498,12752,1528,-13694,-20,-40,56,-6,-36,-24,-26,28,0,0,0,0,0,0,0,0,0
1060,1060,0,7372,8090,-12196,-406,12554,-7518,-7920,12396,7016,9296,-12854,-1294,13618,-7244,-9156,12966,-4,8,-42,12,-68,56,8,12,0,0,0,0,0,0,0,0,0
1061,1061,0,204,-12476,7624,7736,-12402,-22,12396,-7812,1154,-13524,7388,8940,-13050,-922,13532,-7620,12,8,-26,12,-4,8,8,12,0,0,0,0,0,0,0,0,0
1062,1062,0,-7556,12536,-302,-12348,7906,7450,-12456,402,-8816,13118,632,-13450,7774,8598,-13198,-422,-20,-24,-26,-6,-20,-24,-42,28,0,0,0,0,0,0,0,0,0
1063,1063,0,12330,-8116,-7292,12620,-652,-12178,8220,7052,13410,-8038,-8470,13276,188,-13316,8122,8242,-20,-88,-58,12,-4,-8,-26,28,0,0,0,0,0,0,0,0,0
1064,1064,0,-12658,752,12190,-8398,-6854,12750,-978,-12050,-13306,-44,13260,-8316,-8108,13374,-254,-13178,-4,8,-42,12,-36,-8,-26,-6,0,0,0,0,0,0,0,0,0
1065,1065,0,8516,6668,-12614,1182,11962,-8718,-6606,12848,8516,7856,-13438,488,13162,-8674,-7728,13532,-4,-56,-10,-56,-20,8,-10,12,0,0,0,0,0,0,0,0,0
1066,1066,0,-1490,-11902,8704,6350,-12824,1630,11912,-9066,-728,-13056,8864,7582,-13538,848,12980,-9004,-68,-24,-26,12,-4,8,-26,44,0,0,0,0,0,0,0,0,0
1067,1067,0,-6256,12894,-2088,-11630,9196,6040,-12742,2060,-7388,13602,-1116,-12862,9210,7170,-13622,1382,-36,-8,-10,12,-68,-24,-26,-38,0,0,0,0,0,0,0,0,0
1068,1068,0,11620,-9360,-5948,12944,-2298,-11534,9502,5636,12858,-9334,-6984,13702,-1586,-12752,9536,6726,-84,8,-42,12,-52,-24,-10,44,0,0,0,0,0,0,0,0,0
1069,1069,0,-12984,2460,11474,-9620,-5402,13006,-2834,-11358,-13714,1794,12652,-9642,-6568,13762,-1960,-12574,-20,-72,8,28,-36,-24,8,12,0,0,0,0,0,0,0,0,0
1070,1070,0,9722,5306,-12894,2800,11190,-9872,-5194,13056,9832,6452,-13838,2218,12434,-9956,-6218,13894,-36,24,8,44,-36,-8,-10,28,0,0,0,0,0,0,0,0,0
1071,1071,0,-3130,-11124,9914,4856,-13000,3222,11188,-10120,-2424,-12326,10102,5982,-13842,2624,12216,-10274,-68,40,8,-22,-20,-8,8,-38,0,0,0,0,0,0,0,0,0
1072,1072,0,-4684,13144,-3662,-10870,10270,4456,-12942,3660,-5826,13948,-2900,-12170,10430,5622,-13934,3094,-52,8,8,12,-68,8,-26,28,0,0,0,0,0,0,0,0,0
1073,1073,0,10702,-10432,-4422,13088,-3866,-10640,10414,4090,12012,-10600,-5390,13926,-3262,-11876,10770,5216,12,24,8,-6,-68,8,-10,12,0,0,0,0,0,0,0,0,0
1074,1074,0,-13000,4004,10478,-10642,-3882,13176,-4374,-10386,-13986,3480,11730,-10806,-5034,13996,-3780,-11714,-36,-8,-10,-6,-36,40,-10,12,0,0,0,0,0,0,0,0,0
1075,1075,0,10806,3658,-12910,4420,10302,-10848,-3780,13072,10990,4804,-13950,3986,11614,-11158,-4622,13974,-52,8,-10,12,-4,24,-58,12,0,0,0,0,0,0,0,0,0
1076,1076,0,-4748,-10246,11204,3224,-13000,4798,9852,-11134,-4156,-11414,11226,4388,-14002,4356,11274,-11344,12,-8,-10,-6,-68,40,-42,28,0,0,0,0,0,0,0,0,0
1077,1077,0,-3146,13086,-5210,-9896,11238,2910,-12942,5144,-4188,14028,-4590,-11152,11518,3970,-13998,4748,-52,-8,-26,-22,12,-24,-26,-6,0,0,0,0,0,0,0,0,0
1078,1078,0,9754,-11326,-2818,13024,-5354,-9664,11490,2480,11038,-11604,-3812,13990,-4970,-10882,11746,3582,-4,24,-42,28,28,8,8,-38,0,0,0,0,0,0,0,0,0
1079,1079,0,-12920,5614,9430,-11502,-2266,12974,-5916,-9396,-13986,5186,10770,-11930,-3278,13996,-5406,-10582,-20,-8,-10,-56,-52,24,-10,-22,0,0,0,0,0,0,0,0,0
1080,1080,0,11620,2120,-12774,5956,9180,-11710,-2152,12896,11996,3156,-13998,5642,10414,-12020,-2996,13926,12,24,-10,44,-20,24,24,-56,0,0,0,0,0,0,0,0,0
1081,1081,0,-6192,-9130,11912,1650,-12760,6280,8862,-11858,-5826,-10312,12200,2706,-13890,5968,10166,-12346,-68,-8,-26,-22,-4,-24,-42,12,0,0,0,0,0,0,0,0,0
1082,1082,0,-1474,12894,-6558,-8718,11978,1290,-12646,6642,-2440,13932,-6202,-10002,12418,2246,-13838,6318,-20,8,-42,-6,-52,40,-26,28,0,0,0,0,0,0,0,0,0
1083,1083,0,8596,-12050,-994,12784,-6870,-8462,12220,822,9864,-12518,-2070,13814,-6552,-9716,12556,1834,28,56,-26,28,-4,8,-10,12,0,0,0,0,0,0,0,0,0
1084,1084,0,-12610,6892,8204,-12146,-716,12686,-7340,-8190,-13762,6660,9552,-12750,-1666,13730,-6952,-9260,-36,-8,8,-22,-36,8,-10,-6,0,0,0,0,0,0,0,0,0
1085,1085,0,12314,464,-12456,7308,7970,-12306,-318,12524,12890,1352,-13622,7172,9242,-12912,-1116,13580,-36,-8,-10,12,-36,40,-26,12,0,0,0,0,0,0,0,0,0
1086,1086,0,-7556,-7824,12444,66,-12434,7664,7688,-12492,-7326,-9110,12996,940,-13570,7510,8896,-13080,-4,-8,8,-22,12,8,-10,-22,0,0,0,0,0,0,0,0,0
1087,1087,0,106,12408,-7952,-7488,12522,-336,-12210,7992,-712,13522,-7680,-8672,13130,490,-13422,7886,28,40,24,-6,-20,24,-26,28,0,0,0,0,0,0,0,0,0
1088,1088,0,7324,-12540,458,12258,-8286,-7262,12624,-866,8516,-13172,-238,13436,-8060,-8360,13308,16,-20,-24,-10,12,-4,56,8,12,0,0,0,0,0,0,0,0,0
1089,1089,0,-12098,8330,7044,-12666,996,12184,-8562,-6840,-13322,8242,8138,-13354,156,13262,-8406,-8012,44,24,-42,-38,28,-24,-26,-22,0,0,0,0,0,0,0,0,0
1090,1090,0,12762,-1170,-11972,8678,6630,-12750,1384,11986,13410,-364,-13134,8546,7774,-13444,616,13078,-4,-24,-42,-38,-4,-8,-10,-6,0,0,0,0,0,0,0,0,0
1091,1091,0,-8884,-6432,12736,-1632,-11842,8910,6236,-12942,-8752,-7650,13516,-832,-13034,8876,7436,-13582,-68,24,8,-22,-52,8,-42,-6,0,0,0,0,0,0,0,0,0
1092,1092,0,1736,11870,-9080,-6058,12882,-1942,-11664,9190,1138,12976,-9124,-7200,13634,-1258,-12806,9264,-36,24,-10,-6,12,-8,-42,-22,0,0,0,0,0,0,0,0,0
1093,1093,0,5934,-12878,2074,11576,-9426,-5778,12974,-2410,7080,-13666,1448,12814,-9434,-6852,13732,-1750,-4,-24,-10,-22,-68,-24,-26,-56,0,0,0,0,0,0,0,0,0
1094,1094,0,-11426,9532,5594,-13054,2670,11380,-9738,-5334,-12668,9572,6724,-13830,1872,12608,-9802,-6422,-52,-40,-42,28,-4,40,-26,-56,0,0,0,0,0,0,0,0,0
1095,1095,0,13010,-2806,-11234,9794,5256,-13026,2980,11152,13888,-2204,-12464,9898,6278,-13858,2338,12366,-68,-8,-26,-38,-4,-56,-26,12,0,0,0,0,0,0,0,0,0
1096,1096,0,-10002,-4914,13022,-3222,-11000,10054,4858,-13190,-10042,-6138,13860,-2522,-12278,10190,5938,-13974,-4,-8,-26,-56,-36,-8,-26,12,0,0,0,0,0,0,0,0,0
1097,1097,0,3480,10892,-10158,-4654,13042,-3536,-10736,10332,2758,12142,-10382,-5682,13904,-2970,-12044,10510,-4,-8,-10,12,-36,-40,-26,12,0,0,0,0,0,0,0,0,0
1098,1098,0,4398,-13074,3874,10672,-10466,-4254,13070,-3994,5474,-13922,3202,11994,-10640,-5294,13940,-3384,-36,40,-42,-6,12,24,-10,12,0,0,0,0,0,0,0,0,0
1099,1099,0,-10610,10572,4072,-13190,4222,10440,-10674,-3754,-11854,10780,5124,-14038,3660,11748,-10972,-4880,12,-40,8,12,-20,24,-10,-22,0,0,0,0,0,0,0,0,0
1100,1100,0,13026,-4318,-10306,10784,3624,-13058,4634,10162,14000,-3850,-11540,11098,4698,-13986,4068,11402,-4,24,-26,28,-36,-24,8,12,0,0,0,0,0,0,0,0,0
1101,1101,0,-10968,-3328,13070,-4814,-10098,10972,3294,-13118,-11182,-4416,14026,-4308,-11366,11360,4226,-14038,-20,-8,-10,12,-84,8,8,12,0,0,0,0,0,0,0,0,0
1102,1102,0,4926,9948,-11170,-2982,12978,-5180,-9770,11280,4434,11248,-11460,-4016,14032,-4666,-11052,11588,12,40,-10,12,-20,-8,8,12,0,0,0,0,0,0,0,0,0
1103,1103,0,2766,-12994,5498,9682,-11426,-2578,12990,-5558,3820,-13938,4892,10918,-11686,-3690,13924,-5056,-52,-8,-26,12,-4,40,8,-22,0,0,0,0,0,0,0,0,0
1104,1104,0,-9522,11412,2470,-13022,5742,9432,-11488,-2186,-10798,11844,3398,-14022,5330,10668,-11996,-3140,-52,8,-26,-22,-20,8,-26,-22,0,0,0,0,0,0,0,0,0
