Sample in Buffer,Sample in Window,TRIGGER,u2_adc_top/u1_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u1_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],adc1_sync
676,676,0,2,0600fcff,1
677,677,0,0,e6ff2600,1
678,678,0,0,06001600,1
679,679,0,2,f6fffc00,1
680,680,0,0,06001600,1
681,681,0,0,16002600,1
682,682,0,0,06002600,1
683,683,0,2,1600fc00,1
684,684,0,2,0600fc00,1
685,685,0,0,0600f6ff,1
686,686,0,0,0600f6ff,1
687,687,0,8,fcfff6ff,1
688,688,0,0,0600f6ff,1
689,689,0,0,f6ff1600,1
690,690,0,2,0600fcff,1
691,691,0,2,1600fc00,1
692,692,0,8,fcfff6ff,1
693,693,0,8,fc000600,1
694,694,0,0,16002600,1
695,695,0,8,fcfff6ff,1
696,696,0,0,f6ff0600,1
697,697,0,2,f6fffcff,1
698,698,0,2,f6fffcff,1
699,699,0,0,f6ff1600,1
700,700,0,0,f6ffe6ff,1
701,701,0,2,0600fcff,1
702,702,0,2,1600fc00,1
703,703,0,8,fcfff6ff,1
704,704,0,0,f6ff0600,1
705,705,0,2,0600fcff,1
706,706,0,8,fcfff6ff,1
707,707,0,0,06002600,1
708,708,0,2,0600fc00,1
709,709,0,2,0600fc00,1
710,710,0,0,06001600,1
711,711,0,8,7cfff6ff,1
712,712,0,8,fc000600,1
713,713,0,0,1600f6ff,1
714,714,0,0,f6ff0600,1
715,715,0,2,0600fcff,1
716,716,0,8,fc001600,1
717,717,0,0,f6ff1600,1
718,718,0,2,f6fffcff,1
719,719,0,0,f6ff0600,1
720,720,0,0,f6ff0600,1
721,721,0,2,e6fffcff,1
722,722,0,0,f6ff1600,1
723,723,0,8,fc000600,1
724,724,0,0,06001600,1
725,725,0,2,f6fffc00,1
726,726,0,a,7cfffcff,1
727,727,0,8,fc000600,1
728,728,0,0,f6ff0600,1
729,729,0,8,fc000600,1
730,730,0,8,fc000600,1
731,731,0,8,fcfff6ff,1
732,732,0,0,06001600,1
733,733,0,8,fc001600,1
734,734,0,0,16000600,1
735,735,0,8,fc000600,1
736,736,0,8,fcfff6ff,1
737,737,0,0,0600f6ff,1
738,738,0,2,0600fc00,1
739,739,0,0,06001600,1
740,740,0,0,e6ff1600,1
741,741,0,0,06001600,1
742,742,0,2,1600fc00,1
743,743,0,0,0600f6ff,1
744,744,0,0,1600f6ff,1
745,745,0,8,fcfff6ff,1
746,746,0,0,0600f6ff,1
747,747,0,2,1600fc00,1
748,748,0,2,1600fc00,1
749,749,0,2,f6fffc00,1
750,750,0,2,2600fcff,1
