Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/adc1_a1_1[15:0],u3_adc_analysis/adc1_a2_1[15:0],u3_adc_analysis/adc1_a3_1[15:0],u3_adc_analysis/adc1_a4_1[15:0],u3_adc_analysis/adc1_a1_2[15:0],u3_adc_analysis/adc1_a2_2[15:0],u3_adc_analysis/adc1_a3_2[15:0],u3_adc_analysis/adc1_a4_2[15:0],u3_adc_analysis/adc1_b1_1[15:0],u3_adc_analysis/adc1_b2_1[15:0],u3_adc_analysis/adc1_b3_1[15:0],u3_adc_analysis/adc1_b4_1[15:0],u3_adc_analysis/adc1_b1_2[15:0],u3_adc_analysis/adc1_b2_2[15:0],u3_adc_analysis/adc1_b3_2[15:0],u3_adc_analysis/adc1_b4_2[15:0],u3_adc_analysis/time_8s_1
1162,1162,0,-25616,-25552,-25472,-25376,-25120,-24858,-24790,-24558,12,4,4,-40,-4,4,20,-8,0
1163,1163,0,-24210,-23942,-23686,-23356,-22924,-22542,-22212,-21812,-4,4,-14,-8,-32,-14,20,-24,0
1164,1164,0,-21232,-20820,-20372,-19810,-19212,-18724,-18106,-17566,28,4,4,-24,-4,-14,-14,-40,0
1165,1165,0,-16896,-16280,-15702,-15000,-14318,-13602,-12916,-12214,-20,4,4,-8,28,-14,-14,-24,0
1166,1166,0,-11476,-10690,-9978,-9234,-8470,-7668,-6860,-6146,-4,-14,-14,-8,-4,4,-14,10,0
1167,1167,0,-5340,-4482,-3670,-2872,-2078,-1206,-420,376,-4,4,-14,-8,12,4,4,26,0
1168,1168,0,1188,1982,2830,3648,4406,5196,6016,6790,-4,-30,20,-24,-4,-14,-14,-8,0
1169,1169,0,7552,8282,9086,9826,10552,11232,12000,12766,-4,20,20,26,12,4,-14,26,0
1170,1170,0,13364,14098,14768,15382,15962,16616,17182,17802,-4,-30,-30,-8,28,-14,-14,10,0
1171,1171,0,18338,18852,19400,19932,20360,20876,21310,21758,-48,-14,4,10,44,36,-14,10,0
1172,1172,0,22076,22500,22842,23206,23440,23798,24054,24320,28,-14,-14,-24,-4,-14,-14,10,0
1173,1173,0,24504,24724,24920,25102,25150,25326,25392,25492,-4,-14,20,26,12,20,20,10,0
1174,1174,0,25470,25538,25488,25508,25390,25310,25200,25086,-4,-30,-14,-24,-20,4,4,-8,0
1175,1175,0,24910,24724,24568,24354,24026,23798,23498,23238,-4,-30,4,10,-4,20,-14,-8,0
1176,1176,0,22816,22484,22080,21710,21236,20780,20298,19834,-48,-14,4,-24,12,4,4,10,0
1177,1177,0,19240,18756,18192,17626,17006,16436,15798,15154,12,4,4,10,-48,20,4,-40,0
1178,1178,0,14458,13848,13116,12408,11688,10960,10248,9452,-32,4,4,42,12,-14,4,10,0
1179,1179,0,8702,7962,7144,6352,5564,4792,3952,3164,-48,4,20,-24,12,4,4,10,0
1180,1180,0,2336,1540,700,-122,-968,-1724,-2554,-3410,-4,-14,4,26,12,4,4,10,0
1181,1181,0,-4208,-5058,-5794,-6606,-7346,-8104,-8878,-9696,-4,20,20,-24,-4,20,-14,10,0
1182,1182,0,-10420,-11126,-11848,-12608,-13268,-13944,-14676,-15354,-4,-30,-30,-8,28,-14,4,58,0
1183,1183,0,-15954,-16538,-17166,-17840,-18326,-18926,-19442,-20008,-4,20,4,10,-48,20,4,26,0
1184,1184,0,-20426,-20974,-21518,-21956,-22216,-22670,-23060,-23454,-48,20,20,-24,28,4,4,10,0
1185,1185,0,-23714,-24006,-24318,-24622,-24758,-24906,-25216,-25408,44,20,20,-40,12,36,20,42,0
1186,1186,0,-25456,-25584,-25716,-25844,-25776,-25728,-25796,-25796,-4,-14,-14,42,-4,-14,20,-8,0
1187,1187,0,-25632,-25536,-25440,-25376,-25120,-24890,-24758,-24574,12,4,20,10,12,36,4,-8,0
1188,1188,0,-24210,-23942,-23702,-23388,-22924,-22526,-22196,-21844,-4,20,20,10,28,-14,-46,26,0
1189,1189,0,-21216,-20820,-20404,-19810,-19212,-18740,-18122,-17566,12,4,4,10,-20,4,4,10,0
1190,1190,0,-16928,-16296,-15670,-15032,-14318,-13634,-12988,-12198,12,4,-14,26,-4,20,-30,-24,0
1191,1191,0,-11508,-10722,-10010,-9234,-8454,-7684,-6876,-6130,12,4,-14,-8,-20,4,-14,26,0
1192,1192,0,-5340,-4466,-3686,-2904,-2078,-1270,-436,376,-4,36,4,10,12,20,4,42,0
1193,1193,0,1156,1966,2798,3648,4374,5244,6016,6774,28,4,20,10,-48,4,-14,42,0
1194,1194,0,7536,8330,9086,9826,10536,11266,11984,12746,28,52,-14,10,-4,-30,-14,26,0
1195,1195,0,13364,14066,14752,15382,15962,16564,17198,17786,-4,20,-14,42,-4,-14,4,-24,0
1196,1196,0,18276,18852,19362,19964,20296,20860,21278,21774,12,-14,4,26,-20,20,-46,-8,0
1197,1197,0,22076,22484,22842,23190,23456,23766,24022,24320,-4,20,4,26,-4,4,-14,-8,0
1198,1198,0,24504,24724,24904,25102,25150,25310,25376,25532,12,4,-30,-24,12,-14,-30,-8,0
1199,1199,0,25470,25486,25472,25492,25358,25326,25248,25086,-48,4,-14,10,28,4,-14,10,0
1200,1200,0,24910,24692,24552,24354,24026,23850,23498,23170,-32,-14,4,26,-4,4,-14,10,0
1201,1201,0,22832,22500,22080,21726,21220,20780,20298,19834,28,36,4,42,28,36,36,-24,0
1202,1202,0,19272,18724,18208,17658,17022,16420,15846,15154,-32,-30,36,-24,-4,-14,-14,10,0
1203,1203,0,14426,13848,13132,12424,11688,10992,10232,9470,12,20,4,-8,-4,4,-14,26,0
1204,1204,0,8702,7946,7144,6336,5564,4792,3904,3146,12,4,-14,-40,-4,20,36,-24,0
1205,1205,0,2294,1524,716,-106,-952,-1708,-2586,-3378,-48,20,-14,10,28,-14,4,10,0
1206,1206,0,-4208,-5026,-5762,-6606,-7378,-8104,-8942,-9712,12,4,20,10,-4,4,-14,-8,0
1207,1207,0,-10372,-11078,-11864,-12624,-13284,-13976,-14676,-15354,12,-14,4,26,-4,-30,-14,26,0
1208,1208,0,-15954,-16538,-17166,-17824,-18326,-18910,-19474,-19992,-4,4,4,-8,-4,4,-30,-24,0
1209,1209,0,-20442,-20974,-21502,-21972,-22232,-22670,-23060,-23502,12,20,4,-8,44,20,-14,26,0
1210,1210,0,-23682,-23974,-24318,-24606,-24758,-24906,-25184,-25392,12,20,-14,10,-48,20,-30,26,0
1211,1211,0,-25424,-25536,-25678,-25812,-25744,-25728,-25780,-25796,-4,4,-46,-8,-48,-14,20,10,0
1212,1212,0,-25632,-25536,-25440,-25360,-25088,-24874,-24774,-24574,28,-14,20,-8,-20,20,4,-24,0
1213,1213,0,-24194,-23904,-23702,-23404,-22924,-22542,-22180,-21844,-4,4,4,26,-20,-14,-14,-8,0
1214,1214,0,-21232,-20820,-20404,-19778,-19228,-18724,-18122,-17566,-48,4,4,-40,-4,20,4,10,0
1215,1215,0,-16912,-16280,-15686,-15032,-14302,-13634,-12948,-12214,12,4,-14,10,-4,20,20,-8,0
1216,1216,0,-11476,-10722,-9962,-9266,-8470,-7684,-6926,-6114,-4,-14,4,10,-4,-14,4,-24,0
1217,1217,0,-5308,-4498,-3638,-2856,-2094,-1254,-420,376,12,52,-14,26,-4,4,-14,-8,0
1218,1218,0,1172,1982,2798,3616,4412,5244,6016,6774,12,20,4,26,-4,4,4,42,0
1219,1219,0,7536,8314,9086,9826,10568,11314,12024,12714,12,20,20,-24,-48,4,-14,-24,0
1220,1220,0,13348,14082,14784,15414,15946,16616,17214,17786,28,20,4,-40,-48,-14,-14,10,0
1221,1221,0,18276,18820,19400,19916,20344,20828,21294,21758,-4,4,-14,42,28,4,-14,-24,0
1222,1222,0,22092,22516,22896,23238,23440,23818,24038,24320,-4,4,-14,26,12,4,-14,10,0
1223,1223,0,24520,24708,24888,25070,25182,25278,25408,25476,-4,-30,4,26,-4,-14,-14,10,0
1224,1224,0,25486,25522,25488,25508,25342,25278,25232,25086,-32,36,20,10,28,-30,-14,10,0
1225,1225,0,24926,24724,24536,24354,24042,23818,23514,23206,-4,4,4,-8,-4,-46,-30,10,0
1226,1226,0,22778,22452,22080,21694,21220,20764,20330,19852,12,4,36,10,28,4,4,10,0
1227,1227,0,19272,18724,18224,17626,17006,16388,15846,15138,-4,-14,-30,26,-4,-14,-14,-8,0
1228,1228,0,14458,13832,13148,12456,11720,10944,10280,9404,12,-30,4,10,-20,-14,-30,10,0
1229,1229,0,8718,7962,7160,6352,5548,4754,3968,3130,-4,4,4,26,28,-30,20,10,0
1230,1230,0,2294,1508,732,-106,-952,-1692,-2514,-3378,12,20,20,-8,-48,20,20,10,0
1231,1231,0,-4192,-5010,-5762,-6638,-7362,-8120,-8862,-9696,-48,-46,-30,10,-4,4,-14,-8,0
1232,1232,0,-10404,-11110,-11832,-12592,-13300,-13992,-14676,-15320,-4,-14,20,10,-48,-14,4,26,0
1233,1233,0,-15938,-16522,-17150,-17792,-18326,-18958,-19458,-19992,-4,-14,-14,10,28,20,-14,26,0
1234,1234,0,-20442,-20990,-21534,-21972,-22254,-22622,-23076,-23454,-20,-14,4,26,12,4,4,42,0
1235,1235,0,-23714,-24022,-24366,-24638,-24774,-24954,-25200,-25408,12,4,4,10,-4,4,-14,26,0
1236,1236,0,-25424,-25552,-25694,-25812,-25728,-25760,-25780,-25780,-48,20,20,10,12,-14,36,-8,0
1237,1237,0,-25600,-25552,-25440,-25376,-25120,-24906,-24790,-24590,-4,4,4,10,-4,4,-14,10,0
1238,1238,0,-24162,-23942,-23702,-23372,-22924,-22542,-22230,-21844,-4,4,4,10,12,20,4,10,0
1239,1239,0,-21248,-20804,-20356,-19778,-19212,-18756,-18122,-17582,-4,36,-14,10,-4,4,-46,10,0
1240,1240,0,-16928,-16264,-15654,-15048,-14318,-13602,-12916,-12246,-4,4,4,26,-4,36,-14,26,0
1241,1241,0,-11492,-10690,-9978,-9266,-8454,-7684,-6876,-6146,-4,4,36,26,12,4,4,10,0
1242,1242,0,-5308,-4466,-3638,-2904,-2078,-1254,-420,376,-48,-14,-14,-8,-4,-30,4,26,0
1243,1243,0,1188,1982,2830,3632,4390,5228,6032,6790,12,-30,20,-24,-48,-14,36,26,0
1244,1244,0,7568,8282,9134,9810,10584,11216,12048,12730,-4,4,-14,26,-4,-14,-46,10,0
1245,1245,0,13364,14066,14816,15398,15962,16548,17214,17770,-4,20,4,-8,-4,-14,20,-24,0
1246,1246,0,18338,18820,19400,19932,20328,20844,21326,21742,-48,-14,-14,26,-4,20,-30,10,0
1247,1247,0,22060,22500,22874,23222,23424,23782,24054,24320,-48,-14,-14,10,12,-30,36,10,0
1248,1248,0,24520,24692,24958,25118,25150,25278,25392,25476,12,-14,-14,26,-4,4,4,26,0
1249,1249,0,25454,25470,25488,25532,25374,25278,25200,25102,-4,4,4,10,-4,4,-30,-8,0
1250,1250,0,24910,24692,24568,24370,24058,23798,23514,23170,12,4,20,-8,28,-30,-30,10,0
1251,1251,0,22794,22452,22080,21726,21252,20796,20314,19852,-48,20,36,-24,-32,4,20,-24,0
1252,1252,0,19256,18708,18208,17610,16990,16370,15814,15170,12,4,4,-8,12,4,4,-8,0
1253,1253,0,14458,13800,13132,12456,11640,10880,10216,9452,-4,20,-62,-24,-4,4,-14,26,0
1254,1254,0,8702,7946,7220,6352,5580,4754,3952,3164,28,-14,-14,10,12,4,-14,10,0
1255,1255,0,2352,1540,684,-106,-952,-1724,-2546,-3378,-4,-30,-14,26,-4,-14,20,-8,0
1256,1256,0,-4208,-5010,-5794,-6606,-7362,-8088,-8894,-9744,-4,4,4,42,28,20,4,-24,0
1257,1257,0,-10420,-11078,-11848,-12592,-13300,-13912,-14692,-15320,28,4,20,10,-4,-14,4,-24,0
1258,1258,0,-15922,-16522,-17166,-17792,-18326,-18910,-19458,-19992,-4,-30,4,26,-4,-14,4,10,0
1259,1259,0,-20426,-20958,-21486,-21940,-22232,-22638,-23044,-23454,-48,-14,4,10,12,-14,-14,26,0
1260,1260,0,-23666,-24038,-24302,-24638,-24758,-24922,-25200,-25392,-4,-14,-14,-24,-48,-14,20,10,0
1261,1261,0,-25440,-25552,-25678,-25780,-25696,-25744,-25764,-25828,12,-14,4,-8,12,20,4,-24,0
1262,1262,0,-25616,-25552,-25424,-25376,-25104,-24890,-24742,-24574,12,-14,-30,-40,-4,-14,4,10,0
1263,1263,0,-24194,-23958,-23654,-23388,-22924,-22558,-22164,-21796,-20,4,-14,26,12,-30,4,26,0
1264,1264,0,-21216,-20836,-20356,-19778,-19212,-18740,-18068,-17582,12,-14,-30,26,12,-14,-46,42,0
1265,1265,0,-16912,-16312,-15670,-15032,-14286,-13602,-12932,-12182,28,4,-14,26,-4,-30,4,-8,0
1266,1266,0,-11492,-10690,-9978,-9234,-8470,-7668,-6812,-6130,44,-14,4,-24,28,-14,-30,-8,0
1267,1267,0,-5340,-4466,-3622,-2856,-2094,-1254,-420,344,-48,-14,-14,26,12,20,20,26,0
1268,1268,0,1126,1982,2846,3648,4444,5212,6032,6790,-32,-30,-46,42,-48,4,4,10,0
1269,1269,0,7536,8314,9118,9858,10584,11200,12064,12766,44,20,20,-8,12,-30,-30,26,0
1270,1270,0,13380,14066,14752,15398,15946,16548,17230,17786,12,-14,4,-8,-4,4,-14,26,0
1271,1271,0,18306,18820,19400,19948,20344,20828,21294,21758,-4,4,4,10,-4,20,-14,26,0
1272,1272,0,22076,22452,22896,23206,23440,23782,24078,24354,-4,4,20,10,-4,-14,36,26,0
1273,1273,0,24488,24708,24920,25086,25214,25294,25424,25516,-64,20,-30,-24,-4,-14,-14,-8,0
1274,1274,0,25486,25422,25488,25500,25358,25262,25248,25154,-4,-14,4,10,-20,4,4,-24,0
1275,1275,0,24910,24692,24568,24354,24042,23766,23482,23222,-4,20,20,-40,12,20,20,42,0
1276,1276,0,22778,22468,22112,21710,21220,20780,20330,19868,12,20,20,-8,-4,4,-14,10,0
1277,1277,0,19256,18756,18208,17610,16974,16420,15798,15138,-20,-14,4,-24,-4,4,4,26,0
1278,1278,0,14474,13816,13132,12424,11672,10944,10248,9452,28,-14,4,-24,28,4,4,-8,0
1279,1279,0,8686,7914,7128,6352,5548,4738,3952,3130,12,-14,-30,-24,-4,-30,-14,10,0
1280,1280,0,2310,1540,716,-106,-952,-1772,-2530,-3410,12,-14,4,10,28,4,-14,-8,0
1281,1281,0,-4224,-5058,-5762,-6590,-7362,-8152,-8910,-9660,12,-14,4,26,-4,4,-14,10,0
1282,1282,0,-10388,-11126,-11880,-12624,-13316,-13976,-14708,-15370,12,4,36,26,28,-14,-14,26,0
1283,1283,0,-15922,-16522,-17182,-17824,-18342,-18958,-19442,-20008,12,4,4,26,-48,4,-14,26,0
1284,1284,0,-20426,-21006,-21486,-21940,-22286,-22654,-23084,-23436,-32,4,-14,10,-4,36,4,10,0
1285,1285,0,-23650,-24022,-24302,-24606,-24758,-24980,-25200,-25376,-4,20,-14,10,12,20,4,10,0
1286,1286,0,-25456,-25568,-25700,-25796,-25744,-25744,-25796,-25780,-48,36,4,10,28,-30,4,26,0
1287,1287,0,-25648,-25504,-25440,-25360,-25088,-24890,-24758,-24542,-64,-14,4,26,12,-14,4,10,0
1288,1288,0,-24194,-23958,-23686,-23356,-22908,-22542,-22164,-21812,12,-14,4,26,-4,-30,-30,10,0
1289,1289,0,-21232,-20788,-20254,-19762,-19212,-18740,-18122,-17566,12,20,4,26,28,20,20,26,0
1290,1290,0,-16896,-16280,-15654,-15032,-14302,-13618,-12916,-12182,-4,4,-14,26,12,-14,-30,-24,0
1291,1291,0,-11524,-10722,-9978,-9250,-8470,-7700,-6844,-6146,12,36,-14,10,-4,20,-14,26,0
1292,1292,0,-5340,-4498,-3622,-2856,-2062,-1270,-388,392,-4,-14,-30,26,12,4,4,10,0
1293,1293,0,1188,2014,2830,3664,4374,5212,6032,6822,28,-30,4,26,28,4,-14,10,0
1294,1294,0,7568,8250,9086,9794,10552,11250,12024,12782,-32,-14,-14,10,-32,4,-30,26,0
1295,1295,0,13380,14066,14752,15366,15978,16532,17230,17770,12,36,-14,10,-4,-14,-14,-24,0
1296,1296,0,18306,18820,19416,19932,20296,20860,21310,21758,-4,20,4,26,-4,-14,4,-8,0
1297,1297,0,22076,22500,22896,23206,23456,23766,24054,24336,-4,20,4,10,-4,36,-14,26,0
1298,1298,0,24520,24660,24904,25102,25166,25262,25392,25532,-4,4,4,-40,12,20,4,-40,0
1299,1299,0,25438,25454,25488,25460,25358,25294,25184,25118,-48,4,20,-8,12,4,-14,10,0
1300,1300,0,24878,24692,24568,24354,24026,23782,23482,23170,12,36,-30,10,-4,20,-14,10,0
1301,1301,0,22794,22484,22080,21710,21220,20796,20298,19818,28,4,20,-40,-64,20,-30,26,0
1302,1302,0,19272,18724,18208,17626,17022,16404,15814,15186,-4,-30,-14,26,-4,20,-14,-24,0
1303,1303,0,14474,13816,13148,12424,11704,10928,10232,9436,28,-14,-14,-8,-48,4,20,-40,0
1304,1304,0,8686,7914,7160,6336,5548,4754,3968,3164,-4,4,-14,10,-48,20,4,-24,0
1305,1305,0,2320,1508,716,-90,-968,-1756,-2546,-3394,28,-30,-14,10,12,-14,-14,-8,0
1306,1306,0,-4208,-4994,-5812,-6590,-7362,-8136,-8942,-9660,-4,4,36,10,-4,-14,-30,-40,0
1307,1307,0,-10436,-11078,-11864,-12592,-13268,-13976,-14708,-15354,12,-14,-14,-24,28,-30,-14,10,0
1308,1308,0,-15906,-16538,-17166,-17824,-18310,-18958,-19474,-20008,12,-14,4,26,-4,20,-14,26,0
1309,1309,0,-20442,-21006,-21518,-21956,-22232,-22670,-23084,-23486,-4,20,4,26,-4,-30,20,10,0
1310,1310,0,-23682,-23990,-24334,-24606,-24774,-24964,-25184,-25376,12,4,-14,-8,12,20,-14,26,0
1311,1311,0,-25424,-25568,-25700,-25812,-25728,-25728,-25796,-25764,-4,20,-14,26,12,-14,-14,10,0
1312,1312,0,-25632,-25520,-25424,-25360,-25104,-24890,-24758,-24574,28,4,-30,26,-4,4,4,-8,0
1313,1313,0,-24178,-23942,-23686,-23388,-22876,-22542,-22132,-21812,12,36,20,-8,-4,20,4,42,0
1314,1314,0,-21216,-20788,-20372,-19778,-19212,-18756,-18106,-17566,-4,20,-14,10,-64,4,4,26,0
1315,1315,0,-16912,-16296,-15654,-15032,-14302,-13650,-12916,-12198,28,-14,4,-8,12,20,-30,-56,0
1316,1316,0,-11524,-10722,-9962,-9234,-8454,-7684,-6828,-6098,-4,-14,-14,42,-48,-30,-14,-8,0
1317,1317,0,-5324,-4514,-3654,-2872,-2062,-1270,-404,408,12,20,20,-8,-80,-30,4,-40,0
1318,1318,0,1188,1966,2830,3632,4428,5212,6000,6806,12,-14,20,10,-48,20,-30,26,0
1319,1319,0,7504,8298,9086,9826,10568,11216,12000,12734,12,-30,20,10,28,-30,20,-24,0
1320,1320,0,13364,14082,14784,15414,15962,16532,17182,17786,12,4,-30,10,12,-14,4,10,0
1321,1321,0,18292,18820,19416,19964,20360,20812,21278,21742,-4,-14,-30,42,-4,20,4,26,0
1322,1322,0,22108,22452,22810,23222,23472,23818,24078,24320,28,-14,20,10,-48,-14,4,10,0
1323,1323,0,24504,24708,24904,25118,25182,25294,25392,25508,-4,20,4,-24,12,-14,-14,10,0
1324,1324,0,25438,25470,25456,25492,25390,25294,25200,25086,-4,-30,20,10,12,-30,20,-24,0
1325,1325,0,24910,24708,24536,24320,24058,23766,23482,23206,-32,-14,4,10,12,20,4,-24,0
1326,1326,0,22810,22500,22064,21710,21220,20796,20282,19818,-4,4,-14,10,-4,20,20,10,0
1327,1327,0,19272,18740,18208,17642,16990,16420,15782,15154,-4,-14,36,58,12,20,4,42,0
1328,1328,0,14474,13832,13148,12456,11704,10960,10216,9486,12,-14,-14,-24,12,20,4,42,0
1329,1329,0,8686,7962,7112,6368,5564,4754,3936,3130,12,4,-14,26,-4,20,-14,-24,0
1330,1330,0,2352,1540,700,-122,-952,-1724,-2570,-3378,-4,-14,4,-8,-48,4,20,10,0
1331,1331,0,-4192,-5042,-5778,-6606,-7362,-8088,-8910,-9712,-32,4,-14,10,-4,4,4,10,0
1332,1332,0,-10404,-11062,-11864,-12608,-13284,-13976,-14676,-15354,60,4,4,10,-48,-30,-14,42,0
1333,1333,0,-15938,-16506,-17166,-17824,-18326,-18958,-19458,-19992,-64,20,4,10,28,4,4,-8,0
1334,1334,0,-20426,-20958,-21502,-21940,-22254,-22622,-23076,-23454,-4,4,20,10,-4,4,20,26,0
1335,1335,0,-23650,-24006,-24366,-24622,-24758,-24980,-25184,-25408,-4,20,-14,-24,-48,4,-14,10,0
1336,1336,0,-25424,-25520,-25678,-25780,-25728,-25728,-25796,-25780,12,4,-30,10,-4,4,-14,-8,0
1337,1337,0,-25616,-25536,-25424,-25344,-25104,-24890,-24758,-24590,-4,4,20,-24,12,-14,-14,10,0
1338,1338,0,-24178,-23974,-23670,-23372,-22892,-22558,-22196,-21844,12,-30,4,-8,28,-14,-14,26,0
1339,1339,0,-21216,-20804,-20404,-19794,-19228,-18740,-18106,-17566,12,4,4,-8,12,4,4,-8,0
1340,1340,0,-16928,-16280,-15686,-15032,-14302,-13634,-13020,-12182,-4,4,-30,-8,12,4,4,-8,0
1341,1341,0,-11508,-10690,-9994,-9234,-8438,-7684,-6908,-6114,12,-30,4,10,-4,4,-14,-24,0
1342,1342,0,-5356,-4514,-3686,-2856,-2078,-1286,-420,392,12,-30,-14,10,-4,20,-14,-8,0
1343,1343,0,1158,1982,2782,3632,4412,5212,6016,6822,-4,20,20,-24,-4,-14,4,26,0
1344,1344,0,7520,8266,9118,9826,10584,11266,12016,12766,12,4,4,-24,12,4,4,10,0
1345,1345,0,13364,14098,14720,15398,15978,16548,17182,17770,-4,-30,4,-8,-64,36,4,26,0
1346,1346,0,18338,18836,19368,19948,20360,20844,21278,21742,44,4,-14,26,-48,36,4,-8,0
1347,1347,0,22028,22468,22842,23238,23456,23766,24078,24336,12,-14,4,-24,28,4,4,10,0
1348,1348,0,24504,24708,24904,25102,25182,25310,25392,25476,44,36,-14,42,-4,20,-30,26,0
1349,1349,0,25454,25454,25472,25476,25374,25310,25200,25102,12,52,4,10,-4,-30,20,-8,0
1350,1350,0,24910,24792,24552,24354,24042,23818,23466,23190,12,4,20,26,-4,4,-30,10,0
1351,1351,0,22778,22484,22096,21694,21220,20828,20298,19834,44,4,-14,-24,28,20,-14,-24,0
1352,1352,0,19256,18740,18208,17626,16974,16404,15798,15122,-4,-14,20,-24,-4,-30,20,10,0
1353,1353,0,14458,13832,13148,12440,11656,10944,10216,9452,-48,4,-46,-8,-32,20,20,10,0
1354,1354,0,8686,7930,7128,6352,5580,4754,3952,3130,12,-30,20,26,-4,-14,4,26,0
1355,1355,0,2352,1508,684,-106,-984,-1692,-2554,-3378,12,4,20,10,12,-14,20,10,0
1356,1356,0,-4208,-4994,-5778,-6606,-7346,-8088,-8910,-9696,-4,4,-14,-8,-64,36,-30,10,0
1357,1357,0,-10420,-11094,-11848,-12576,-13284,-13976,-14676,-15338,12,4,-30,10,-4,-14,4,26,0
1358,1358,0,-15922,-16538,-17166,-17808,-18342,-18958,-19458,-20008,-48,-14,4,-24,-32,4,20,26,0
1359,1359,0,-20426,-20958,-21502,-21972,-22254,-22638,-23044,-23420,12,20,-14,-24,-48,4,-14,10,0
1360,1360,0,-23698,-24022,-24334,-24606,-24742,-24964,-25216,-25392,-20,52,4,10,-4,20,4,26,0
1361,1361,0,-25424,-25584,-25700,-25812,-25712,-25760,-25780,-25780,12,-14,20,42,-4,-14,20,10,0
1362,1362,0,-25632,-25536,-25424,-25360,-25120,-24890,-24758,-24542,-48,20,20,10,28,4,-14,26,0
1363,1363,0,-24194,-23974,-23654,-23356,-22908,-22574,-22196,-21844,-4,-30,20,26,12,-14,4,-24,0
1364,1364,0,-21232,-20836,-20388,-19762,-19228,-18740,-18090,-17534,-4,20,-14,-8,-4,-62,4,26,0
1365,1365,0,-16944,-16312,-15670,-15032,-14318,-13634,-12932,-12214,-20,4,-14,26,-4,-14,-14,10,0
1366,1366,0,-11492,-10690,-9994,-9250,-8438,-7684,-6926,-6130,-4,-30,20,26,12,-14,20,10,0
1367,1367,0,-5308,-4466,-3670,-2888,-2046,-1254,-452,376,-4,-14,20,10,-4,4,-30,-24,0
1368,1368,0,1172,1966,2798,3632,4428,5228,6016,6774,12,4,-14,-24,28,36,4,10,0
1369,1369,0,7520,8298,9086,9842,10568,11266,12016,12766,28,4,4,-8,12,-14,20,-24,0
1370,1370,0,13364,14114,14768,15446,15962,16548,17198,17802,12,-30,-14,10,-4,-14,4,10,0
1371,1371,0,18338,18852,19384,19932,20360,20876,21274,21758,-4,-14,4,10,12,-14,20,-24,0
1372,1372,0,22124,22516,22858,23170,23456,23798,24078,24370,28,4,4,-8,-4,20,20,-8,0
1373,1373,0,24520,24756,24904,25134,25182,25310,25408,25548,-4,4,-14,10,-64,4,-30,-24,0
1374,1374,0,25454,25454,25488,25500,25358,25310,25200,25086,-32,52,-14,-24,-32,36,-14,10,0
1375,1375,0,24910,24708,24552,24370,24042,23866,23482,23238,-32,20,-30,10,12,20,36,10,0
1376,1376,0,22832,22500,22096,21726,21220,20812,20298,19868,12,36,20,10,12,-30,-14,-24,0
1377,1377,0,19320,18740,18224,17610,16990,16436,15798,15170,28,-14,-14,10,-4,36,20,10,0
1378,1378,0,14490,13800,13148,12456,11672,10944,10232,9486,28,20,4,42,28,-14,20,10,0
1379,1379,0,8686,7930,7112,6352,5548,4754,3952,3130,12,-30,20,-24,-48,-14,4,-24,0
1380,1380,0,2368,1508,716,-90,-968,-1676,-2554,-3378,-32,-14,4,26,-4,4,4,10,0
1381,1381,0,-4224,-4994,-5778,-6590,-7378,-8104,-8894,-9696,-4,-14,-30,-24,28,52,20,26,0
1382,1382,0,-10404,-11094,-11864,-12592,-13252,-13976,-14676,-15370,12,20,4,10,-4,-14,20,10,0
1383,1383,0,-15922,-16538,-17150,-17824,-18342,-18958,-19426,-20024,12,-14,4,10,-48,4,-14,-40,0
1384,1384,0,-20426,-20990,-21534,-21940,-22254,-22670,-23092,-23454,12,4,-14,10,-4,-14,20,-24,0
1385,1385,0,-23682,-23974,-24366,-24622,-24758,-24906,-25216,-25408,-4,4,4,10,12,20,-14,26,0
1386,1386,0,-25424,-25584,-25716,-25828,-25728,-25728,-25780,-25812,-4,4,-14,10,12,36,36,-8,0
1387,1387,0,-25648,-25568,-25440,-25376,-25120,-24890,-24774,-24574,-4,-14,-14,-24,-48,4,20,10,0
1388,1388,0,-24162,-23974,-23686,-23404,-22892,-22542,-22196,-21828,12,-30,-14,-24,12,-14,4,42,0
1389,1389,0,-21232,-20772,-20372,-19794,-19196,-18740,-18106,-17566,-32,-30,4,-24,-32,-30,20,-8,0
1390,1390,0,-16896,-16264,-15670,-15064,-14302,-13618,-12964,-12214,-4,4,20,-40,-4,-14,4,10,0
1391,1391,0,-11492,-10690,-10010,-9250,-8470,-7684,-6926,-6098,-4,-14,-14,-8,12,4,-14,-24,0
1392,1392,0,-5324,-4450,-3654,-2888,-2094,-1286,-436,328,-48,-14,20,-8,28,4,-14,10,0
1393,1393,0,1188,2014,2782,3632,4390,5212,6048,6790,12,4,4,-8,-64,-14,-14,42,0
1394,1394,0,7536,8282,9054,9826,10552,11248,12008,12714,28,-14,4,10,-4,4,20,10,0
1395,1395,0,13364,14098,14736,15398,15962,16584,17198,17754,-48,20,-14,10,28,-14,4,10,0
1396,1396,0,18260,18820,19384,19932,20360,20860,21262,21758,-48,-14,-14,10,12,4,20,42,0
1397,1397,0,22092,22484,22874,23206,23440,23834,24054,24354,-4,36,-14,10,-4,4,-14,-24,0
