Sample in Buffer,Sample in Window,TRIGGER,int_dac_top/top_dac1_int/tx_tdata[255:0],int_dac_top/top_dac1_int/syncb_buf,int_dac_top/top_dac1_int/syncb_logic,sysref_logic,sysref_o,u_ila_3_tx_aresetn
133,133,0,25daab26dce24f2e53ecc3344af6dd3982007c3db50a883fa314f33f091ebb3e,0,1,0,0,1
134,134,0,7e03bfc341f913c130ef04c08de599c098dccec28bd493c69bcdd1cbf5c766d2,0,1,0,0,1
135,135,0,02203f3e7028143bd52f653601365230ca3a0129133ea420c43f7117d33fa40d,0,1,0,0,1
136,136,0,e7c601d406c3fcdbb4c0e2e401c07aeef2c086f880c3c2029bc7ec0c27cdc116,0,1,0,0,1
137,137,0,9e3f6f0bb03d3e012d3a05f72d3507edd02e85e34027bedaaf1eebd255153fcc,0,1,0,0,1
138,138,0,8dced818abd5f021dedd282af1e64d31a8f02e37c3faa53b0105953e1e0feb3f,0,1,0,0,1
139,139,0,3213f5ca3609ecc5fefe60c2ccf469c0e3ea12c085e15fc1efd846c459d1b4c8,0,1,0,0,1
140,140,0,4c11fe3fe81a553fd3230c3dd32b3339b432e4334938402d6c3c7325043fb11c,0,1,0,0,1
141,141,0,d6cfdfc9bac903d003c562d7cfc1cbdf32c007e937c0daf2dfc103fd1ec53f07,0,1,0,0,1
142,142,0,5f3fa91afd3f0911f83efa06553cbdfc283896f28a32c6e8a12b8fdf9a232dd7,0,1,0,0,1
143,143,0,09c67b091bcb741388d1ee1c26d9ab25c2e1702d24eb0c3410f5523943ff213d,0,1,0,0,1
144,144,0,b52177d5991862cedb0e92c8bc042dc47efa50c165f00fc0b1e671c0a3dd73c2,0,1,0,0,1
145,145,0,8301c23db30ba53f9615e73fec1e863e77278c3bff2e0a37533520314a3af429,0,1,0,0,1
146,146,0,c3db1bc3cfd307c7fecc68cc7ac71cd36ac3f6dae6c0c3e300c049edbec049f7,0,1,0,0,1
147,147,0,2e3b3a284f3ec61fd83f8116be3fa80c023e7d02af3a41f8dc3538eea72fa4e4,0,1,0,0,1
148,148,0,20c186f9d6c3c30316c8e80dc5cdb117bed4e020d2dc3629cce57f3073ef8936,0,1,0,0,1
149,149,0,1f2e9fe27426edd9cc1d35d26214aacb710a75c63c00bac206f690c011ec06c0,0,1,0,0,1
150,150,0,a2f1ae37c4fb003c0206c93e1810f63fc519803fc922693de92ac039ef319c34,0,1,0,0,1
151,151,0,f1e920c0a4e096c124d8a4c4aad038c966ca33cf82c56dd61dc2b9de4ec0dee7,0,1,0,0,1
