Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/adc2_a1_1[15:0],u3_adc_analysis/adc2_a2_1[15:0],u3_adc_analysis/adc2_a3_1[15:0],u3_adc_analysis/adc2_a4_1[15:0],u3_adc_analysis/adc2_a1_2[15:0],u3_adc_analysis/adc2_a2_2[15:0],u3_adc_analysis/adc2_a3_2[15:0],u3_adc_analysis/adc2_a4_2[15:0],u3_adc_analysis/adc2_b1_1[15:0],u3_adc_analysis/adc2_b2_1[15:0],u3_adc_analysis/adc2_b3_1[15:0],u3_adc_analysis/adc2_b4_1[15:0],u3_adc_analysis/adc2_b1_2[15:0],u3_adc_analysis/adc2_b2_2[15:0],u3_adc_analysis/adc2_b3_2[15:0],u3_adc_analysis/adc2_b4_2[15:0],u3_adc_analysis/time_8s_2
184,184,0,1642,2410,3282,4056,4874,5688,6452,7208,-14,4,0,-18,-30,20,-18,16,0
185,185,0,7992,8742,9538,10222,10950,11686,12434,13072,-14,-28,0,0,2,20,0,16,0
186,186,0,13770,14448,15168,15724,16342,16954,17552,18098,2,-12,0,16,-14,-12,16,0,0
187,187,0,18628,19212,19740,20208,20628,21150,21608,21944,2,-12,-18,32,18,4,0,0,0
188,188,0,22298,22748,23090,23396,23646,24010,24260,24496,-30,-28,-34,0,2,-12,0,-34,0
189,189,0,24662,24864,25048,25208,25268,25434,25526,25552,2,20,16,-18,2,4,32,0,0
190,190,0,25530,25582,25598,25504,25396,25302,25220,25094,2,44,32,0,2,-28,0,16,0
191,191,0,24900,24672,24484,24276,23960,23680,23392,23076,2,4,16,-34,-14,4,0,0,0
192,192,0,22664,22296,21928,21474,21002,20512,20082,19582,2,-12,0,16,-14,4,16,16,0
193,193,0,19002,18434,17938,17370,16740,16062,15482,14860,-14,20,16,16,18,4,-34,0,0
194,194,0,14106,13488,12772,12086,11306,10510,9810,9082,-30,44,16,-18,-14,4,0,-50,0
195,195,0,8278,7488,6752,5948,5114,4334,3506,2702,2,-28,-50,-34,-30,-44,32,-18,0
196,196,0,1912,1034,238,-570,-1450,-2188,-3030,-3840,-14,20,0,0,-46,4,-34,-18,0
197,197,0,-4626,-5492,-6290,-7002,-7818,-8606,-9356,-10102,2,-12,-18,48,18,4,0,16,0
198,198,0,-10854,-11588,-12300,-13026,-13690,-14406,-15100,-15724,-30,-12,-34,16,50,4,16,0,0
199,199,0,-16346,-16954,-17580,-18108,-18742,-19224,-19932,-20256,-14,4,0,16,-30,4,-18,-18,0
200,200,0,-20818,-21254,-21770,-22120,-22496,-22966,-23356,-23690,18,4,0,0,2,4,0,0,0
201,201,0,-23916,-24256,-24560,-24780,-24936,-25142,-25410,-25532,2,4,32,16,2,20,16,0,0
202,202,0,-25602,-25708,-25770,-25806,-25794,-25884,-25836,-25790,2,-12,0,-18,-14,4,-18,-18,0
203,203,0,-25682,-25596,-25506,-25304,-25058,-24918,-24726,-24454,-46,-44,0,-18,-30,4,16,0,0
204,204,0,-24100,-23850,-23564,-23236,-22766,-22346,-22056,-21534,-30,-12,16,0,2,4,0,-34,0
205,205,0,-21098,-20520,-20142,-19556,-18998,-18408,-17836,-17222,-30,20,0,16,2,-12,0,0,0
206,206,0,-16616,-15988,-15326,-14722,-13984,-13256,-12546,-11864,-46,4,0,16,18,4,16,-18,0
207,207,0,-11110,-10332,-9566,-8810,-8042,-7282,-6468,-5714,2,20,32,0,18,20,0,0,0
208,208,0,-4874,-4038,-3268,-2454,-1664,-820,46,802,-30,20,-34,0,-14,20,16,16,0
209,209,0,1642,2458,3298,4072,4858,5688,6484,7208,2,4,0,16,2,-12,0,16,0
210,210,0,7976,8758,9538,10254,10970,11686,12466,13104,2,-28,0,-34,-14,44,0,0,0
211,211,0,13786,14480,15152,15740,16342,16970,17568,18098,-14,-12,16,-34,2,4,32,0,0
212,212,0,18660,19212,19756,20192,20660,21150,21640,21944,2,20,0,0,-30,20,16,0,0
213,213,0,22314,22716,23058,23412,23662,23994,24308,24528,18,-28,-18,0,-30,20,16,0,0
214,214,0,24726,24864,25064,25224,25316,25418,25510,25552,18,4,16,16,-14,-12,0,32,0
215,215,0,25530,25546,25558,25552,25396,25318,25220,25062,2,-12,32,32,-46,-28,0,0,0
216,216,0,24884,24672,24500,24260,23944,23712,23408,23076,-14,-12,16,0,-14,4,-18,-18,0
217,217,0,22632,22296,21880,21458,21018,20528,20082,19614,-14,-28,16,0,-14,4,-34,0,0
218,218,0,19018,18482,17970,17386,16740,16078,15482,14860,-30,-12,0,16,18,4,0,-18,0
219,219,0,14122,13456,12772,12102,11290,10494,9810,9098,-30,4,-18,0,2,4,32,0,0
220,220,0,8310,7488,6692,5996,5130,4318,3490,2718,2,4,16,0,-30,4,0,0,0
221,221,0,1928,1066,254,-538,-1418,-2236,-3030,-3824,2,4,0,0,-14,-44,0,-18,0
222,222,0,-4626,-5458,-6258,-7018,-7802,-8590,-9388,-10118,-46,20,0,-18,-46,-12,-18,-34,0
223,223,0,-10806,-11572,-12354,-13026,-13722,-14390,-15116,-15724,2,4,0,0,-30,20,0,0,0
