Sample in Buffer,Sample in Window,TRIGGER,int_dac_top/top_dac4_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac4_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac4_int/tx_tdata[255:0],int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac1_int/tx_tdata[255:0],int_dac_top/top_dac2_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac2_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac2_int/tx_tdata[255:0],int_dac_top/top_dac3_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac3_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac3_int/tx_tdata[255:0],int_dac_top/top_dac4_int/syncb_buf,int_dac_top/top_dac1_int/syncb_buf,int_dac_top/top_dac2_int/syncb_buf,int_dac_top/top_dac3_int/syncb_buf,int_dac_top/top_dac3_int/syncb_logic,int_dac_top/top_dac4_int/syncb_logic,int_dac_top/top_dac1_int/syncb_logic,int_dac_top/top_dac2_int/syncb_logic,sysref_logic,sysref_o,int_dac_top/top_dac1_int/tx_aresetn,int_dac_top/top_dac3_int/tx_aresetn,int_dac_top/top_dac2_int/tx_aresetn,int_dac_top/top_dac4_int/tx_aresetn
30,30,0,0,d93ff8ce,6222f403613106f08a3ba9dde13fa7cef83d7ac4fe3520c0bc2805c27e17fbc9,0,653081f1,12fb8729060f73188221fb04b73006f1283b89decf3f51cf383eddc48a3632c0,0,22c03831,5fdd58fc70ce43105ac497221ac088311bc2a13b2acae53f7ed7e83dc8e8dc35,f,bcbcbcbc,3c0cb33f1a16df3f661f683ee527583b5d2fc336a035c630833a8a29e63d3e21,0,0,0,1,0,1,1,1,0,0,1,1,1,1
31,31,0,0,dc17c5c9,f13d71c4f1351ec0a9280bc2671708cadb034dd7eeef8de894dd19fc97ce0610,0,bf363ac0,313b73ded13f41cf323ed3c47d3630c07429cbc15c187cc9e20483d6eef099e7,0,6ae81336,22c2ab3b38cae63f91d7e23ddfe8cf3571fc78285b102c17ac229c039831b1ef,f,bcbcbcbc,6bd347c7aaccbbcc39c780d33dc368dbcfc040e400c0cfedd4c0d4f747c30f02,0,0,0,1,0,1,1,1,0,0,1,1,1,1
32,32,0,0,d8cea50f,c20361d7d6efa5e87edd32fc87ce1e1068c477221dc0713112c2943b16cae33f,0,50f13ce7,6029d1c145188ac9c90496d6d5f0b0e75ede2bfb31cf1e0fcac498212ec0c730,0,593112f0,8afc652873101517c1228303a83199efb43b4adde83f60cedb3d51c4c13519c0,f,bcbcbcbc,6f3e4c1fe13ffe15b03f1f0cde3df101773ab6f79035b2ed492f26e4cd2750db,0,0,0,1,0,1,1,1,0,0,1,1,1,1
33,33,0,0,e0c9dc3f,5fc48c221bc0803118c29d3b24cae43f74d7eb3dbce8e3354bfc962837105017,0,36c08630,48de44fb20cf370fc0c4ad212cc0d830d7c13b3b97c9d33fa9d62c3ec7e77036,0,f8351fc0,bd3b34dde93f50ced53d48c4b43518c0512828c2fe1646ca6a03a5d780eff7e8,f,bcbcbcbc,06c44f045bc8700e1dce331825d5572147dda1294ce6da30faefd23611fa633b,0,0,0,1,0,1,1,1,0,0,1,1,1,1
34,34,0,0,d50fad17,88d7e53dd4e8d63564fc82284f103817a122a8039031bdefa63b69dde63f78ce,0,6ae7a436,ddc1443ba4c9d43fbcd6263edee763365dfb4d294f0f2d18c221b004e830bdf0,0,e2ef99e8,3e282fc2e61653ca5103b8d768ef0ee91fdda3fc40ce8c103fc4d62216c0b831,f,bcbcbcbc,04267dd9501dd4d1dd135acbe70938c6b1ff92c27cf57ec08deb0bc023e23bc1,0,0,0,1,0,1,1,1,0,0,1,1,1,1
35,35,0,0,e03fb7ce,b6228f03a031a5efaf3b54dde73f68cede3d55c4c8351ac06f281ec2211731ca,0,a7301ff1,76fb3a29680f1618d8219704f830a5f04e3b33ded63f10cf203eb7c455362bc0,0,1cc07931,0addbcfc30cea41036c4eb2215c0c83135c2c63b61caea3fccd7ce3d26e9a635,f,bcbcbcbc,50fc303c8d06e43e9f10fa3f451a6e3f3e23413d502b833946324c34f337be2d,0,0,0,1,0,1,1,1,0,0,1,1,1,1
36,36,0,0,7e17fbc9,d83d4cc4ba3518c05b2825c209173fca76039bd78defebe83fdd7dfc58ce6710,0,8a3632c0,573b1eded83f00cf1a3eadc4483629c02729e3c1ff17b1c97e04d0d68cf0f6e7,0,c8e8dc35,3cc2cf3b6fcaec3fdfd7c83d3de99835d5fc2a28bc10cf1600233803d83150ef,f,bcbcbcbc,2ae0b5c1b7d7d9c44cd081c91aca8dcf4ac5d8d6fac131df41c060e82ac02bf2,0,0,0,1,0,1,1,1,0,0,1,1,1,1
37,37,0,0,97ce0610,5d03afd774ef02e92add96fc48ce801043c4cc2217c0b0312bc2b83b4ccae83f,0,eef099e7,1329e9c1e717bfc96504e3d674f00de808de8ffbf0ce800fa4c4ed2127c00831,0,9831b1ef,eefc1728d410b71615231e03e73138efd83bf5dced3f20cec13d2dc48a3514c0,f,bcbcbcbc,0239232ceb3c2e24453f4b1bff3fb611173fac07903c70fd7d3845f3f7326ee9,0,0,1,1,0,1,1,0,0,0,1,1,1,1
38,38,0,0,16cae33f,3ac4e12216c0c03132c2c13b5acaea3fc2d7d13d1ae9ad35affc48289810f216,0,2ec0c730,f3dda8fbe0ce980f9bc4022225c01831efc1613bccc9da3ff6d6143e24e83b36,0,c13519c0,e03be0dcee3f11ceba3d24c47d3513c0032842c2a0167cca0503f3d71fef55e9,f,bcbcbcbc,5dc05ff443c290febec5c908b7cac9120ed14e1c98d81a2525e1f22c7beaa333,0,0,0,1,0,1,1,1,0,0,1,1,1,1
39,39,0,0,37105017,d6d7cb3d31e99f35c8fc3428b010da16f6224403d0315cefca3b15ddeb3f38ce,0,c7e77036,f6c16a3bd9c9db3f09d70e3e3ce82d36c1fb0029b10fd01718224c0428315bf0,0,80eff7e8,f02749c288168acaec0207d807ef6ce9cbdc07fd01ceed101bc42a2311c0f731,f,bcbcbcbc,923156e77b2a3bde4d22fed53e19d4ce890fecc86f056dc431fb76c112f118c0,0,0,0,1,0,1,1,1,0,0,1,1,1,1
