Sample in Buffer,Sample in Window,TRIGGER,int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt1_txdata[31:0],int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt1_txcharisk[3:0],int_dac_top/top_dac1_int/tx_tdata[255:0],int_dac_top/top_dac1_int/syncb_buf,int_dac_top/top_dac1_int/syncb_logic,sysref_logic,sysref_o,u_ila_2_tx_aresetn
67,67,0,bcbcbcbc,bcbcbcbc,f,f,090fa9c8eb043ec4adfa5ac192f011c0dce66bc0cbdd66c29ad5f5c580ce01cb,0,1,0,0,1
68,68,0,bcbcbcbc,bcbcbcbc,f,f,6a15ea3fc31e903e52279d3bdf2e223739353f31363a182ab53ddd21a03fc418,0,1,0,0,1
69,69,0,bcbcbcbc,bcbcbcbc,f,f,1acd4ccc90c7fad279c3cfdaeec098e301c01cedb7c01bf70dc35401f1c6850b,0,1,0,0,1
70,70,0,bcbcbcbc,bcbcbcbc,f,f,d43fad16c23fd60c0d3eac02c23a70f8f53565eec72fcee45f28eadbef1ff1d3,0,1,0,0,1
71,71,0,bcbcbcbc,bcbcbcbc,f,f,00c8ba0da8cd86179bd4b720aadc1229a1e5603045ef713657f91c3b9403443e,0,1,0,0,1
72,72,0,bcbcbcbc,bcbcbcbc,f,f,f61d56d28e14c5cba00a8ac66c00c7c235f696c03eec05c0c9e217c113dac6c3,0,1,0,0,1
73,73,0,bcbcbcbc,bcbcbcbc,f,f,d305c03eeb0ff43f9a19853fa122763dc62ad439d231b73497373f2ef03b9926,0,1,0,0,1
74,74,0,bcbcbcbc,bcbcbcbc,f,f,49d892c4cad01fc980ca14cf95c54ad629c291de52c0b3e71dc074f18bc195fb,0,1,0,0,1
75,75,0,bcbcbcbc,bcbcbcbc,f,f,b03cc724273ff41b00406912353f6608cc3c2bfed438fdf367331deaaa2ccde0,0,1,0,0,1
76,76,0,bcbcbcbc,bcbcbcbc,f,f,13c2d5fd72c5100851ca161290d0a61b05d8812481e06c2ccce93433a8f3ac38,0,1,0,0,1
77,77,0,bcbcbcbc,bcbcbcbc,f,f,062bdadeea228bd6e9194ccf3e104cc92906b3c4ebfb9ec1c8f123c003e84ac0,0,1,0,0,1
78,78,0,bcbcbcbc,bcbcbcbc,f,f,dff5af3915005e3d4b0a7b3f3c14f73faa1dd13e54260e3c042ec23785340832,0,1,0,0,1
79,79,0,bcbcbcbc,bcbcbcbc,f,f,f0e58bc0f3dcaec2dbd464c6decd93cb2ac81ad2e3c3ced927c17ce207c0eceb,0,1,0,0,1
80,80,0,bcbcbcbc,bcbcbcbc,f,f,c63598309f3a5429f83d0121ba3fd617da3f0e0e583eea033d3badf99e3699ef,0,1,0,0,1
81,81,0,bcbcbcbc,bcbcbcbc,f,f,00c012eee0c01af85dc3560268c7820ce6cc5c16b3d3a41fa2db1c2880e48d2f,0,1,0,0,1
82,82,0,bcbcbcbc,bcbcbcbc,f,f,69356eed1a2fe6e3962716db0e1f38d3bb157fccda0b19c7aa0127c370f7c4c0,0,1,0,0,1
83,83,0,bcbcbcbc,bcbcbcbc,f,f,8de607313ef0f63657fa7d3b95047e3eb50ee53f7418a93f9421cc3dd7295a3a,0,1,0,0,1
84,84,0,bcbcbcbc,bcbcbcbc,f,f,36f575c04aeb0dc0e5e149c145d91fc4a3d17ec831cb49ce1ac65ad57ec282dd,0,1,0,0,1
85,85,0,bcbcbcbc,bcbcbcbc,f,f,842b64397232233415388c2d483ccb25f03e111dfc3f9a13643fa1092c3d6aff,0,1,0,0,1
86,86,0,bcbcbcbc,bcbcbcbc,f,f,e9c16ddf3bc0a2e82fc070f2c5c196fcf4c4d306a6c9e410bccf851a0ed77923,0,1,0,0,1
87,87,0,bcbcbcbc,bcbcbcbc,f,f,793c2afd5b3800f3cc322ce9f02beddff32380d70b1b1dd07211f4c966072ec5,0,1,0,0,1
88,88,0,bcbcbcbc,bcbcbcbc,f,f,d0d8532563e1242dbeeacd33a5f42239d6fe003d0f094f3f0d13ff3f8e1c0b3f,0,1,0,0,1
89,89,0,bcbcbcbc,bcbcbcbc,f,f,280554c4eafa67c1cef014c015e764c0ffdd56c2c8d5dcc5a6cedfcac8c83ed1,0,1,0,0,1
90,90,0,bcbcbcbc,bcbcbcbc,f,f,8d1e9d3e2127b33bb52e4137173566311c3a462aa53d1122993ffd18ed3f450f,0,1,0,0,1
91,91,0,bcbcbcbc,bcbcbcbc,f,f,adc7cfd28dc39edaf9c062e302c0e1ecaec0def6fac21701d6c6480b28cc3015,0,1,0,0,1
92,92,0,bcbcbcbc,bcbcbcbc,f,f,c73f120d1c3ee902da3aadf81636a0eeef2f06e58e281cdc24201ed4e6163fcd,0,1,0,0,1
93,93,0,bcbcbcbc,bcbcbcbc,f,f,83cd4d176ed4822077dce3286ae538300aef50361af9053b5703363e7e0dd03f,0,1,0,0,1
94,94,0,bcbcbcbc,bcbcbcbc,f,f,c814e8cbdc0aa5c6a900d9c271f69fc078ec04c0ffe20cc145dab1c381d2e2c7,0,1,0,0,1
95,95,0,bcbcbcbc,bcbcbcbc,f,f,af0ff23f62198d3f6e22873d982aee39ab31d93479376a2eda3bca26b43e2c1e,0,1,0,0,1
96,96,0,bcbcbcbc,bcbcbcbc,f,f,f3d000c9a2caedceaec51bd639c25cde59c07ae71ac039f17ec158fb7cc49605,0,1,0,0,1
97,97,0,bcbcbcbc,bcbcbcbc,f,f,1d3f2b1c0040a4123f3fa208df3c68fef03839f48c3357ead62c02e1f92479d8,0,1,0,0,1
98,98,0,bcbcbcbc,bcbcbcbc,f,f,59c5d3072fcadc1166d06f1bd6d74e244ce0402c92e90f336cf38f3898fd9d3c,0,1,0,0,1
99,99,0,bcbcbcbc,bcbcbcbc,f,f,1d23bad6211a74cf79106cc96606cac428fcacc104f227c03ce844c00fdf04c2,0,1,0,0,1
100,100,1,bcbcbcbc,bcbcbcbc,f,f,d8ff4c3d0e0a733f0214f93f731ddc3e2326233cd92de03762342e329439332b,0,1,0,0,1
101,101,0,bcbcbcbc,bcbcbcbc,f,f,26dd9dc208d549c604ce70cb48c8efd1f9c39dd933c146e209c0b2eb83c0a3f5,0,1,0,0,1
102,102,0,bcbcbcbc,bcbcbcbc,f,f,873a8329e83d3621b43f0f18de3f4a0e663e2704543beaf9be36d4efc03028e6,0,1,0,0,1
103,103,0,bcbcbcbc,bcbcbcbc,f,f,d6c0ddf74ac318024bc7460cc1cc231687d36e1f70dbec2749e4642fd8eda535,0,1,0,0,1
104,104,0,bcbcbcbc,bcbcbcbc,f,f,432f1de4c62748db441f64d3f515a4cc160c35c7e8013ac3adf7cec0a9ed00c0,0,1,0,0,1
105,105,0,bcbcbcbc,bcbcbcbc,f,f,03f0d7361afa673b5804713e790ee23f3c18af3f5f21dc3da829733ae0308a35,0,1,0,0,1
106,106,0,bcbcbcbc,bcbcbcbc,f,f,84eb0bc01be23dc176d909c4ced160c854cb22ce34c62cd58fc24fdd7dc055e6,0,1,0,0,1
107,107,0,bcbcbcbc,bcbcbcbc,f,f,4c324634f737b72d343cfc25e53e481dfb3fd4136c3fde093e3da7ff7f3973f5,0,1,0,0,1
108,108,0,bcbcbcbc,bcbcbcbc,f,f,40c069e82ac034f2b7c159fcdcc4960685c9a91094cf4d1adfd6462339df572b,0,1,0,0,1
